Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
P.J. Brown,38.06666666666667,5,7,0.714,0,0,,4,4,1.0,1,15,16,1,1,2,1,2,14,28,Starter,0.799,0.714,0.0,0.571,5.1,39.5,27.7,4.4,1.4,3.8,10.2,12.8,153,82,9.0,200010310ATL,2000-10-31 19:30:00
Baron Davis,35.61666666666667,7,11,0.636,2,2,1.0,4,7,0.571,1,5,6,3,2,0,5,3,20,14,Starter,0.71,0.727,0.182,0.636,5.3,13.9,11.0,15.6,3.0,0.0,26.2,26.3,111,92,1.8,200010310ATL,2000-10-31 19:30:00
David Wesley,34.05,7,10,0.7,1,2,0.5,3,4,0.75,0,1,1,6,1,0,1,1,18,25,Starter,0.765,0.75,0.2,0.4,0.0,2.9,1.9,33.7,1.6,0.0,7.8,18.6,156,99,8.9,200010310ATL,2000-10-31 19:30:00
Jamal Mashburn,31.316666666666666,8,16,0.5,2,5,0.4,5,8,0.625,1,5,6,3,1,0,3,4,23,13,Starter,0.589,0.563,0.313,0.5,6.2,16.1,12.7,20.5,1.8,0.0,13.3,36.1,114,93,0.3,200010310ATL,2000-10-31 19:30:00
Elden Campbell,30.766666666666666,3,7,0.429,0,0,,7,9,0.778,1,5,6,0,1,4,4,5,13,21,Starter,0.593,0.429,0.0,1.286,6.2,16.1,12.7,0.0,1.8,9.4,26.7,24.0,95,86,-3.6,200010310ATL,2000-10-31 19:30:00
Eldridge Recasner,20.433333333333334,1,4,0.25,0,0,,2,2,1.0,0,2,2,1,0,0,1,1,4,11,Reserve,0.41,0.25,0.0,0.5,0.0,9.5,6.3,7.0,0.0,0.0,17.0,13.9,85,100,-7.6,200010310ATL,2000-10-31 19:30:00
Eddie Robinson,20.3,3,5,0.6,0,0,,4,4,1.0,1,2,3,1,1,0,2,1,10,12,Reserve,0.74,0.6,0.0,0.8,9.6,10.0,9.9,8.6,2.7,0.0,22.8,21.8,126,94,3.0,200010310ATL,2000-10-31 19:30:00
Otis Thorpe,15.416666666666666,0,1,0.0,0,0,,0,0,,1,0,1,1,0,0,0,4,0,-4,Reserve,0.0,0.0,0.0,0.0,12.8,0.0,4.4,9.1,0.0,0.0,0.0,3.3,105,103,-6.4,200010310ATL,2000-10-31 19:30:00
Hersey Hawkins,5.9,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,Reserve,,,,,0.0,16.7,11.0,0.0,0.0,0.0,,0.0,0,97,-2.8,200010310ATL,2000-10-31 19:30:00
Jamaal Magloire,4.066666666666666,1,1,1.0,0,0,,2,2,1.0,1,1,2,0,0,0,0,2,4,1,Reserve,1.064,1.0,0.0,2.0,48.0,25.0,32.9,0.0,0.0,0.0,0.0,23.4,224,93,13.1,200010310ATL,2000-10-31 19:30:00
Tim James,4.066666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,104,-1.3,200010310ATL,2000-10-31 19:30:00
