Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Rashard Lewis,35.53333333333333,2.0,10.0,0.2,2.0,4.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,-26.0,Starter,0.368,0.3,0.4,0.2,5.4,8.8,7.0,0.0,0.0,0.0,0.0,15.0,88,123,-6.8,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,34.96666666666667,1.0,6.0,0.167,0.0,0.0,,10.0,16.0,0.625,5.0,10.0,15.0,2.0,2.0,2.0,2.0,3.0,12.0,-19.0,Starter,0.46,0.167,0.0,2.667,13.7,29.8,21.4,12.7,3.2,3.4,13.3,21.1,101,105,4.3,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedo Türkoğlu,33.083333333333336,3.0,11.0,0.273,1.0,3.0,0.333,6.0,6.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,13.0,-20.0,Starter,0.477,0.318,0.273,0.545,0.0,12.6,6.0,15.6,1.7,1.8,22.7,26.2,81,117,-2.7,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafer Alston,24.533333333333335,2.0,9.0,0.222,0.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,-6.0,Starter,0.304,0.222,0.444,0.222,0.0,8.5,4.1,10.3,2.3,0.0,0.0,19.8,71,118,-6.3,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,22.75,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,7.0,-7.0,Starter,0.35,0.35,0.4,0.0,4.2,0.0,2.2,0.0,2.4,0.0,9.1,23.7,69,121,-7.6,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickaël Piétrus,32.416666666666664,5.0,13.0,0.385,3.0,5.0,0.6,1.0,3.0,0.333,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,14.0,-23.0,Reserve,0.489,0.5,0.385,0.231,3.0,6.4,4.6,0.0,0.0,0.0,0.0,21.7,102,124,-0.9,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameer Nelson,23.466666666666665,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,6.0,-19.0,Reserve,0.333,0.333,0.222,0.0,0.0,8.9,4.3,48.5,0.0,0.0,10.0,20.9,77,123,-6.1,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Gortat,20.1,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,7.0,8.0,0.0,2.0,4.0,0.0,3.0,4.0,-3.0,Reserve,0.5,0.5,0.0,0.0,4.8,36.3,19.9,0.0,5.5,11.9,0.0,9.8,110,91,9.9,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Redick,7.75,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,Reserve,0.75,0.75,0.5,0.0,0.0,0.0,0.0,36.9,7.2,0.0,0.0,12.7,162,112,18.7,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Battie,5.4,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,Reserve,0.333,0.333,0.0,0.0,0.0,19.3,9.3,0.0,0.0,11.1,0.0,27.3,69,110,1.6,200906040LAL,2009-06-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
