Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Paul Pierce,45.65,6,13,0.462,0,4,0.0,12,13,0.923,0,9,9,4,0,2,3,5,24,-13,Starter,0.641,0.462,0.308,1.0,0.0,27.0,13.0,18.5,0.0,3.2,13.8,23.8,119,116,4.7,201006030LAL,2010-06-03 21:00:00
Rajon Rondo,39.516666666666666,6,14,0.429,0,0,,1,4,0.25,4,2,6,8,0,0,2,2,13,-17,Starter,0.412,0.429,0.0,0.286,12.8,6.9,10.0,44.8,0.0,0.0,11.3,22.5,97,124,-0.7,201006030LAL,2010-06-03 21:00:00
Kevin Garnett,34.78333333333333,7,16,0.438,0,0,,2,2,1.0,2,2,4,1,2,1,1,3,16,-14,Starter,0.474,0.438,0.0,0.125,7.3,7.9,7.6,7.1,3.2,2.1,5.6,25.7,97,116,1.0,201006030LAL,2010-06-03 21:00:00
Ray Allen,27.333333333333332,3,8,0.375,0,2,0.0,6,6,1.0,0,0,0,0,0,0,2,5,12,-5,Starter,0.564,0.375,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,15.8,23.2,99,126,-8.5,201006030LAL,2010-06-03 21:00:00
Kendrick Perkins,24.416666666666668,2,2,1.0,0,0,,4,5,0.8,1,2,3,1,1,0,1,3,8,-14,Starter,0.952,1.0,0.0,2.5,5.2,11.2,8.1,7.8,2.3,0.0,19.2,10.7,157,118,4.8,201006030LAL,2010-06-03 21:00:00
Glen Davis,18.6,1,3,0.333,0,0,,1,2,0.5,1,2,3,1,1,0,1,1,3,-1,Reserve,0.387,0.333,0.0,0.667,6.8,14.7,10.6,9.8,3.0,0.0,20.5,13.1,80,116,-1.5,201006030LAL,2010-06-03 21:00:00
Rasheed Wallace,18.2,3,4,0.75,1,2,0.5,2,2,1.0,0,4,4,0,0,1,1,3,9,3,Reserve,0.922,0.875,0.5,0.5,0.0,30.1,14.5,0.0,0.0,4.0,17.0,16.2,140,114,7.3,201006030LAL,2010-06-03 21:00:00
Tony Allen,16.55,1,4,0.25,0,0,,2,2,1.0,0,0,0,0,1,1,2,4,4,-11,Reserve,0.41,0.25,0.0,0.5,0.0,0.0,0.0,0.0,3.4,4.4,29.1,20.8,60,116,-9.8,201006030LAL,2010-06-03 21:00:00
Nate Robinson,13.016666666666667,0,3,0.0,0,2,0.0,0,0,,0,2,2,4,0,0,0,2,0,10,Reserve,0.0,0.0,0.667,0.0,0.0,21.1,10.1,50.9,0.0,0.0,0.0,11.5,55,120,-7.0,201006030LAL,2010-06-03 21:00:00
Michael Finley,1.9333333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-5.2,201006030LAL,2010-06-03 21:00:00
Pau Gasol,46.56666666666667,8,14,0.571,0,0,,7,10,0.7,8,6,14,3,1,3,3,4,23,13,Starter,0.625,0.571,0.0,0.714,23.6,16.3,19.8,10.8,1.2,5.4,14.0,21.7,129,101,7.2,201006030LAL,2010-06-03 21:00:00
Kobe Bryant,38.75,10,22,0.455,1,2,0.5,9,10,0.9,1,6,7,6,1,1,4,4,30,8,Starter,0.568,0.477,0.091,0.455,3.5,19.6,11.9,30.2,1.4,2.2,13.2,37.0,117,103,7.7,201006030LAL,2010-06-03 21:00:00
Metta World Peace,32.88333333333333,5,10,0.5,3,5,0.6,2,2,1.0,1,3,4,1,2,1,0,4,15,26,Starter,0.689,0.65,0.5,0.2,4.2,11.5,8.0,4.9,3.4,2.6,0.0,15.6,156,100,11.1,201006030LAL,2010-06-03 21:00:00
Andrew Bynum,28.15,4,6,0.667,0,0,,2,4,0.5,0,6,6,0,0,0,1,3,10,11,Starter,0.644,0.667,0.0,0.667,0.0,26.9,14.0,0.0,0.0,0.0,11.4,14.7,116,106,-1.5,201006030LAL,2010-06-03 21:00:00
Derek Fisher,28.133333333333333,3,8,0.375,0,0,,3,3,1.0,0,3,3,3,1,0,0,3,9,18,Starter,0.483,0.375,0.0,0.375,0.0,13.5,7.0,16.1,2.0,0.0,0.0,15.6,125,105,1.0,201006030LAL,2010-06-03 21:00:00
Lamar Odom,21.283333333333335,2,6,0.333,0,2,0.0,1,2,0.5,1,3,4,1,0,1,2,5,5,2,Reserve,0.363,0.333,0.333,0.333,6.4,17.8,12.4,6.9,0.0,4.0,22.5,19.7,73,104,-10.6,201006030LAL,2010-06-03 21:00:00
Shannon Brown,17.45,3,5,0.6,0,0,,0,0,,0,1,1,0,0,0,0,0,6,-2,Reserve,0.6,0.6,0.0,0.0,0.0,7.2,3.8,0.0,0.0,0.0,0.0,13.5,128,111,-0.1,201006030LAL,2010-06-03 21:00:00
Jordan Farmar,13.3,2,4,0.5,0,0,,0,0,,1,1,2,1,1,0,1,1,4,-7,Reserve,0.5,0.5,0.0,0.0,10.3,9.5,9.9,12.1,4.2,0.0,20.0,17.8,99,101,1.7,201006030LAL,2010-06-03 21:00:00
Sasha Vujačić,8.266666666666667,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,1,0,-5,Reserve,0.0,0.0,1.0,0.0,0.0,15.3,8.0,31.4,0.0,0.0,0.0,5.7,91,108,-0.7,201006030LAL,2010-06-03 21:00:00
Luke Walton,5.216666666666667,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,1,Reserve,,,,,0.0,0.0,0.0,24.9,0.0,16.1,100.0,9.1,40,99,1.7,201006030LAL,2010-06-03 21:00:00
Ray Allen,43.5,11,20,0.55,8,11,0.727,2,2,1.0,1,2,3,2,0,0,2,3,32,12,Starter,0.766,0.75,0.55,0.1,2.6,5.4,4.0,9.2,0.0,0.0,8.7,23.3,136,109,10.8,201006060LAL,2010-06-06 20:00:00
Rajon Rondo,41.96666666666667,8,18,0.444,1,1,1.0,2,5,0.4,4,8,12,10,2,1,3,2,19,12,Starter,0.47,0.472,0.056,0.278,10.9,22.3,16.5,42.6,2.5,2.3,12.9,24.5,109,98,7.2,201006060LAL,2010-06-06 20:00:00
Paul Pierce,40.016666666666666,2,11,0.182,0,0,,6,6,1.0,1,3,4,4,1,1,2,3,10,3,Starter,0.367,0.182,0.0,0.545,2.9,8.8,5.8,14.3,1.3,2.4,12.8,17.3,90,104,-4.5,201006060LAL,2010-06-06 20:00:00
Kendrick Perkins,31.783333333333335,4,7,0.571,0,0,,4,6,0.667,1,5,6,3,0,0,2,4,12,3,Starter,0.622,0.571,0.0,0.857,3.6,18.4,10.9,15.1,0.0,0.0,17.2,16.2,115,105,0.6,201006060LAL,2010-06-06 20:00:00
Kevin Garnett,23.716666666666665,2,5,0.4,0,0,,2,2,1.0,0,4,4,6,0,0,0,5,6,1,Starter,0.51,0.4,0.0,0.4,0.0,19.7,9.8,38.0,0.0,0.0,0.0,11.0,145,105,5.2,201006060LAL,2010-06-06 20:00:00
Glen Davis,18.166666666666668,4,13,0.308,0,0,,0,1,0.0,5,2,7,1,1,1,1,4,8,3,Reserve,0.298,0.308,0.0,0.077,31.5,12.9,22.3,10.4,2.9,5.4,6.9,35.2,81,97,-10.3,201006060LAL,2010-06-06 20:00:00
Rasheed Wallace,18.116666666666667,3,5,0.6,1,3,0.333,0,0,,1,6,7,1,0,0,1,4,7,15,Reserve,0.7,0.7,0.6,0.0,6.3,38.8,22.3,9.4,0.0,0.0,16.7,14.7,118,99,1.6,201006060LAL,2010-06-06 20:00:00
Tony Allen,12.483333333333333,0,2,0.0,0,0,,2,2,1.0,0,0,0,1,2,0,0,2,2,3,Reserve,0.347,0.0,0.0,1.0,0.0,0.0,0.0,10.7,8.4,0.0,0.0,10.2,103,93,2.7,201006060LAL,2010-06-06 20:00:00
Nate Robinson,6.033333333333333,2,2,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,0,7,-3,Reserve,1.215,1.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,250,111,30.3,201006060LAL,2010-06-06 20:00:00
Shelden Williams,4.216666666666667,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,2,2,0,-4,Reserve,0.0,0.0,0.0,0.0,0.0,27.8,13.7,0.0,0.0,0.0,66.7,31.5,0,101,-45.8,201006060LAL,2010-06-06 20:00:00
Pau Gasol,41.96666666666667,7,10,0.7,0,1,0.0,11,13,0.846,3,5,8,3,1,6,1,3,25,-12,Starter,0.795,0.7,0.1,1.3,8.4,13.6,11.0,16.3,1.3,10.1,6.0,18.4,161,110,15.0,201006060LAL,2010-06-06 20:00:00
Metta World Peace,40.516666666666666,1,10,0.1,1,6,0.167,3,8,0.375,2,3,5,1,2,0,3,6,6,0,Starter,0.222,0.15,0.6,0.8,5.8,8.5,7.1,4.3,2.6,0.0,18.2,18.8,50,116,-13.6,201006060LAL,2010-06-06 20:00:00
Andrew Bynum,39.0,6,10,0.6,0,0,,9,12,0.75,3,3,6,0,0,7,2,5,21,1,Starter,0.687,0.6,0.0,1.2,9.0,8.8,8.9,0.0,0.0,12.7,11.6,20.4,129,113,5.1,201006060LAL,2010-06-06 20:00:00
Derek Fisher,34.666666666666664,2,8,0.25,0,2,0.0,2,2,1.0,1,6,7,4,0,0,1,3,6,4,Starter,0.338,0.25,0.25,0.25,3.4,19.8,11.7,21.1,0.0,0.0,10.1,13.1,87,118,-6.7,201006060LAL,2010-06-06 20:00:00
Kobe Bryant,34.3,8,20,0.4,2,7,0.286,3,3,1.0,0,5,5,6,4,0,5,5,21,-9,Starter,0.492,0.45,0.35,0.15,0.0,16.7,8.4,47.2,6.1,0.0,19.0,35.4,89,105,3.2,201006060LAL,2010-06-06 20:00:00
Shannon Brown,15.066666666666666,0,2,0.0,0,0,,2,2,1.0,0,2,2,1,0,1,0,1,2,-3,Reserve,0.347,0.0,0.0,1.0,0.0,15.2,7.7,11.0,0.0,4.7,0.0,8.8,95,116,-2.3,201006060LAL,2010-06-06 20:00:00
