Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Ray Allen,44.25,6.0,14.0,0.429,2.0,7.0,0.286,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,14.0,-9.0,Starter,0.5,0.5,0.5,0.0,0.0,5.4,2.6,0.0,1.2,0.0,6.7,15.3,97,117,-1.5,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,42.083333333333336,7.0,10.0,0.7,1.0,1.0,1.0,12.0,14.0,0.857,0.0,6.0,6.0,12.0,0.0,0.0,3.0,4.0,27.0,1.0,Starter,0.835,0.75,0.1,1.4,0.0,17.1,8.3,48.9,0.0,0.0,15.7,20.6,155,116,13.4,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,39.083333333333336,5.0,17.0,0.294,1.0,6.0,0.167,2.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,0.0,4.0,3.0,13.0,-14.0,Starter,0.364,0.324,0.353,0.118,5.8,0.0,3.0,12.3,4.1,0.0,18.3,25.3,74,112,-3.9,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Garnett,38.516666666666666,9.0,20.0,0.45,0.0,0.0,,0.0,0.0,,2.0,8.0,10.0,4.0,2.0,3.0,2.0,3.0,18.0,-6.0,Starter,0.45,0.45,0.0,0.0,5.9,24.9,15.2,20.1,2.8,5.7,9.1,25.8,96,104,7.2,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Perkins,32.06666666666667,4.0,7.0,0.571,0.0,0.0,,1.0,2.0,0.5,5.0,6.0,11.0,0.0,0.0,2.0,2.0,3.0,9.0,-3.0,Starter,0.571,0.571,0.0,0.286,17.8,22.5,20.1,0.0,0.0,4.5,20.2,13.9,107,111,-0.3,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Allen,13.716666666666667,2.0,2.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,-7.0,Reserve,1.025,1.0,0.0,0.5,8.3,8.7,8.5,0.0,0.0,5.3,0.0,8.0,211,113,7.4,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Wallace,13.1,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,-1.0,Reserve,0.2,0.2,0.2,0.0,0.0,18.3,8.9,11.3,0.0,0.0,16.7,20.7,46,115,-15.2,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Davis,11.783333333333333,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,3.0,5.0,5.0,-9.0,Reserve,0.425,0.4,0.0,0.4,19.4,20.4,19.9,0.0,0.0,0.0,33.8,34.0,66,113,-21.8,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Finley,3.45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Reserve,0.0,0.0,1.0,0.0,0.0,69.6,33.9,0.0,0.0,0.0,0.0,13.1,0,103,-11.3,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Daniels,1.95,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-3.9,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,43.2,12.0,24.0,0.5,3.0,6.0,0.5,8.0,11.0,0.727,2.0,5.0,7.0,7.0,3.0,2.0,2.0,1.0,35.0,7.0,Starter,0.607,0.563,0.25,0.458,5.6,13.2,9.5,31.5,3.7,3.4,6.5,33.7,129,98,19.5,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Williams,39.666666666666664,8.0,14.0,0.571,0.0,3.0,0.0,4.0,5.0,0.8,0.0,5.0,5.0,6.0,1.0,0.0,1.0,3.0,20.0,23.0,Starter,0.617,0.571,0.214,0.357,0.0,14.4,7.4,25.6,1.3,0.0,5.8,20.5,132,105,5.0,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,36.85,2.0,6.0,0.333,0.0,1.0,0.0,3.0,6.0,0.5,1.0,8.0,9.0,0.0,1.0,2.0,2.0,4.0,7.0,11.0,Starter,0.405,0.333,0.167,1.0,3.3,24.8,14.3,0.0,1.4,4.0,18.8,13.6,75,99,-4.4,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Parker,25.55,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,Starter,0.333,0.333,0.333,0.0,0.0,22.4,11.5,5.2,4.2,0.0,0.0,5.5,88,97,1.8,201005010CLE,2010-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
