Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Jrue Holiday,46.55,,,,,,,,,,,,,,,,,,,,Starter,0.5,0.5,0.375,0.0,2.0,16.8,8.7,22.5,0.9,2.0,7.7,22.0,104.0,114.0,0.7,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,11.0,24.0,0.458,2.0,9.0,0.222,0.0,0.0,,1.0,7.0,8.0,8.0,1.0,1.0,2.0,0.0,24.0,-1.0
Anthony Davis,42.983333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.521,0.521,0.125,0.0,8.6,28.6,17.6,16.1,2.0,6.6,7.7,23.8,107.0,106.0,3.8,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,12.0,24.0,0.5,1.0,3.0,0.333,0.0,0.0,,4.0,11.0,15.0,5.0,2.0,3.0,2.0,4.0,25.0,2.0
Nikola Mirotić,39.05,,,,,,,,,,,,,,,,,,,,Starter,0.52,0.531,0.5,0.188,2.4,22.9,11.6,3.1,2.2,0.0,0.0,17.5,106.0,111.0,-1.8,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,7.0,16.0,0.438,3.0,8.0,0.375,1.0,3.0,0.333,1.0,8.0,9.0,1.0,2.0,0.0,0.0,6.0,18.0,-9.0
Rajon Rondo,38.11666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.674,0.633,0.267,0.2,7.3,11.7,9.3,39.8,5.7,0.0,30.0,24.1,111.0,105.0,7.3,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,8.0,15.0,0.533,3.0,4.0,0.75,3.0,3.0,1.0,3.0,4.0,7.0,12.0,5.0,0.0,7.0,5.0,22.0,2.0
E'Twaun Moore,35.71666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.538,0.538,0.615,0.0,0.0,6.3,2.8,3.3,1.2,2.6,7.1,15.4,97.0,114.0,-2.4,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,5.0,13.0,0.385,4.0,8.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,14.0,1.0
Darius Miller,17.05,,,,,,,,,,,,,,,,,,,,Reserve,0.579,0.333,0.667,1.0,0.0,13.1,5.9,18.7,2.6,0.0,18.8,12.3,117.0,112.0,0.3,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,1.0,3.0,0.333,0.0,2.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,5.0,-9.0
Solomon Hill,9.883333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.167,0.167,0.5,0.0,9.3,0.0,5.1,33.8,0.0,0.0,0.0,23.9,71.0,120.0,-10.6,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,-7.0
Ian Clark,6.2,,,,,,,,,,,,,,,,,,,,Reserve,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,97.0,120.0,-7.3,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0
Cheick Diallo,4.466666666666667,,,,,,,,,,,,,,,,,,,,Reserve,1.0,1.0,0.0,0.0,0.0,50.0,22.6,0.0,0.0,0.0,0.0,17.6,200.0,112.0,13.7,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
Kevin Durant,41.3,,,,,,,,,,,,,,,,,,,,Starter,0.566,0.522,0.304,0.261,0.0,13.4,7.3,26.9,2.1,5.1,7.2,27.0,112.0,104.0,6.4,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,11.0,23.0,0.478,2.0,7.0,0.286,5.0,6.0,0.833,0.0,6.0,6.0,7.0,2.0,3.0,2.0,1.0,29.0,-5.0
Draymond Green,40.75,,,,,,,,,,,,,,,,,,,,Starter,0.758,0.727,0.455,0.455,2.7,18.1,11.2,40.7,1.1,3.5,7.0,14.1,158.0,106.0,10.8,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,7.0,11.0,0.636,2.0,5.0,0.4,4.0,5.0,0.8,1.0,8.0,9.0,12.0,1.0,2.0,1.0,5.0,20.0,6.0
Klay Thompson,37.78333333333333,,,,,,,,,,,,,,,,,,,,Starter,0.25,0.25,0.55,0.0,5.9,9.8,8.0,10.1,0.0,0.0,9.1,23.5,60.0,114.0,-16.6,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,4.0,20.0,0.2,2.0,11.0,0.182,0.0,0.0,,2.0,4.0,6.0,3.0,0.0,0.0,2.0,3.0,10.0,-8.0
Andre Iguodala,33.81666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.677,0.688,0.375,0.875,3.3,19.1,12.0,7.9,3.9,2.1,15.3,15.6,115.0,101.0,3.8,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,5.0,8.0,0.625,1.0,3.0,0.333,4.0,7.0,0.571,1.0,7.0,8.0,2.0,3.0,1.0,2.0,1.0,15.0,1.0
Nick Young,11.166666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.375,0.375,1.0,0.0,0.0,8.3,4.5,11.1,0.0,0.0,20.0,18.1,66.0,114.0,-11.5,,,,,,,,,,,,,,,,,,,,201805010GSW,2018-05-01 22:30:00,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,-11.0
