Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Donovan Mitchell,35.6,6.0,14.0,0.429,2.0,4.0,0.5,6.0,7.0,0.857,3.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,20.0,7.0,Starter,0.585,0.5,0.286,0.5,9.6,5.9,7.7,23.3,4.0,2.1,10.5,22.1,126,102,10.3,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,34.53333333333333,5.0,11.0,0.455,2.0,7.0,0.286,0.0,0.0,,0.0,9.0,9.0,3.0,2.0,0.0,4.0,4.0,12.0,6.0,Starter,0.545,0.545,0.636,0.0,0.0,27.2,14.2,13.9,2.7,0.0,26.7,17.9,88,97,0.1,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conley,33.95,7.0,16.0,0.438,2.0,7.0,0.286,4.0,4.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,20.0,12.0,Starter,0.563,0.5,0.438,0.25,3.4,0.0,1.6,20.9,1.4,2.2,10.1,24.0,118,110,4.6,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,33.7,5.0,9.0,0.556,0.0,0.0,,4.0,5.0,0.8,2.0,10.0,12.0,0.0,0.0,3.0,3.0,3.0,14.0,8.0,Starter,0.625,0.556,0.0,0.556,6.8,31.0,19.4,0.0,0.0,6.8,21.1,17.4,106,98,0.0,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Ingles,31.9,4.0,7.0,0.571,1.0,3.0,0.333,4.0,5.0,0.8,1.0,2.0,3.0,2.0,2.0,0.0,5.0,4.0,13.0,11.0,Starter,0.707,0.643,0.429,0.714,3.6,6.5,5.1,9.7,3.0,0.0,35.2,18.4,97,105,-1.9,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,32.21666666666667,8.0,17.0,0.471,1.0,8.0,0.125,6.0,7.0,0.857,0.0,5.0,5.0,3.0,2.0,0.0,2.0,1.0,23.0,-15.0,Reserve,0.573,0.5,0.471,0.412,0.0,16.2,8.5,17.8,2.9,0.0,9.1,28.3,117,101,6.2,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Bradley,14.3,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,3.0,2.0,5.0,0.0,1.0,1.0,1.0,2.0,4.0,-6.0,Reserve,1.0,1.0,0.0,0.0,24.0,14.6,19.1,0.0,3.3,5.3,33.3,8.7,142,98,4.3,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Niang,13.466666666666667,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-4.0,Reserve,0.0,0.0,0.5,0.0,17.0,0.0,8.1,0.0,0.0,0.0,0.0,18.4,25,114,-21.1,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Mudiay,10.333333333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-9.0,Reserve,0.0,0.0,1.0,0.0,0.0,10.1,5.3,0.0,0.0,0.0,33.3,12.0,0,110,-20.0,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,36.5,9.0,18.0,0.5,2.0,5.0,0.4,0.0,0.0,,2.0,3.0,5.0,4.0,3.0,1.0,6.0,4.0,20.0,-13.0,Starter,0.556,0.556,0.278,0.0,5.7,9.4,7.5,18.7,3.9,2.6,25.0,25.9,93,102,2.1,202007300NOP,2020-07-30 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
