Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Jermaine O'Neal,43.28333333333333,6.0,15.0,0.4,0.0,1.0,0.0,13.0,16.0,0.813,11.0,8.0,19.0,1.0,0.0,3.0,3.0,3.0,25.0,-17.0,Starter,0.567,0.4,0.067,1.067,22.7,22.3,22.6,6.1,0.0,5.8,12.0,24.8,127.0,126.0,6.4,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,41.266666666666666,6.0,18.0,0.333,4.0,10.0,0.4,4.0,6.0,0.667,2.0,3.0,5.0,1.0,1.0,0.0,1.0,6.0,20.0,-22.0,Starter,0.484,0.444,0.556,0.333,4.3,8.8,6.2,6.5,1.4,0.0,4.6,22.5,120.0,131.0,0.7,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Miller,38.166666666666664,2.0,8.0,0.25,1.0,6.0,0.167,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,-21.0,Starter,0.41,0.313,0.75,0.5,2.3,3.2,2.7,0.0,0.0,0.0,0.0,10.9,113.0,136.0,-7.8,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Tinsley,22.183333333333334,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,-14.0,Starter,0.25,0.25,0.25,0.0,4.0,5.5,4.6,0.0,0.0,0.0,20.0,9.7,57.0,135.0,-15.6,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Miller,13.383333333333333,0.0,4.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,Starter,0.205,0.0,0.0,0.5,0.0,17.1,7.3,0.0,4.1,0.0,0.0,14.9,64.0,123.0,-9.0,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Bender,22.283333333333335,4.0,8.0,0.5,3.0,5.0,0.6,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,Reserve,0.676,0.688,0.625,0.25,8.1,21.8,13.9,0.0,0.0,3.8,0.0,17.2,159.0,127.0,10.9,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Harrington,20.45,1.0,8.0,0.125,0.0,1.0,0.0,3.0,4.0,0.75,2.0,7.0,9.0,1.0,0.0,1.0,5.0,3.0,5.0,-9.0,Reserve,0.256,0.125,0.125,0.5,8.5,40.0,21.9,10.1,0.0,3.9,33.9,30.0,49.0,121.0,-19.0,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erick Strickland,18.9,3.0,10.0,0.3,1.0,5.0,0.2,5.0,6.0,0.833,3.0,3.0,6.0,5.0,0.0,0.0,0.0,3.0,12.0,2.0,Reserve,0.475,0.35,0.5,0.6,14.0,18.9,16.1,72.5,0.0,0.0,0.0,28.4,140.0,131.0,14.3,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Mercer,9.2,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,Reserve,0.0,0.0,0.0,0.0,9.9,0.0,5.7,21.3,0.0,0.0,0.0,23.7,25.0,137.0,-19.7,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foster,7.566666666666666,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,-10.0,Reserve,0.667,0.667,0.0,0.0,11.1,0.0,6.4,46.2,0.0,10.3,0.0,16.0,161.0,129.0,16.1,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway,3.3166666666666664,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Reserve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,137.0,-28.9,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Walker,40.68333333333333,9.0,19.0,0.474,2.0,6.0,0.333,1.0,2.0,0.5,2.0,4.0,6.0,5.0,1.0,0.0,3.0,3.0,21.0,10.0,Starter,0.528,0.526,0.316,0.105,5.9,8.7,7.5,19.9,1.4,0.0,13.1,26.7,109.0,111.0,0.9,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,40.61666666666667,11.0,21.0,0.524,2.0,4.0,0.5,3.0,5.0,0.6,1.0,7.0,8.0,4.0,2.0,1.0,1.0,4.0,27.0,24.0,Starter,0.582,0.571,0.19,0.238,2.9,15.2,10.0,17.3,2.8,2.2,4.1,28.2,126.0,101.0,9.5,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Delk,28.116666666666667,5.0,10.0,0.5,3.0,6.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,15.0,25.0,Starter,0.689,0.65,0.6,0.2,4.3,0.0,1.8,5.5,0.0,0.0,0.0,18.6,152.0,122.0,4.2,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Battie,26.0,2.0,3.0,0.667,0.0,0.0,,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,4.0,1.0,5.0,5.0,11.0,Starter,0.644,0.667,0.0,0.667,9.2,13.7,11.8,0.0,0.0,13.7,20.5,9.0,119.0,105.0,-0.5,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter McCarty,24.683333333333334,4.0,6.0,0.667,3.0,4.0,0.75,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,5.0,13.0,20.0,Starter,0.945,0.917,0.667,0.333,4.8,3.6,4.1,17.8,0.0,0.0,0.0,13.2,201.0,118.0,12.3,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Williams,33.8,3.0,9.0,0.333,0.0,1.0,0.0,4.0,6.0,0.667,2.0,6.0,8.0,4.0,1.0,0.0,0.0,6.0,10.0,4.0,Reserve,0.43,0.333,0.111,0.667,7.1,15.7,12.0,15.8,1.7,0.0,0.0,16.4,119.0,103.0,-1.0,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.R. Bremer,19.883333333333333,4.0,11.0,0.364,2.0,4.0,0.5,2.0,3.0,0.667,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,12.0,-5.0,Reserve,0.487,0.455,0.364,0.273,0.0,17.8,10.2,0.0,0.0,0.0,0.0,29.4,107.0,105.0,-3.0,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Blount,19.533333333333335,2.0,3.0,0.667,0.0,0.0,,3.0,4.0,0.75,1.0,3.0,4.0,0.0,1.0,2.0,1.0,4.0,7.0,12.0,Reserve,0.735,0.667,0.0,1.333,6.3,14.0,10.8,0.0,3.0,9.4,17.4,14.5,131.0,99.0,3.1,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedrick Brown,5.383333333333334,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,Reserve,,,,,24.0,0.0,10.2,0.0,11.3,0.0,,0.0,223.0,96.0,11.6,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Long,1.3,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reserve,0.0,0.0,0.0,0.0,0.0,88.9,51.1,0.0,0.0,0.0,0.0,47.8,0.0,37.0,-36.6,200305010BOS,2003-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kidd,38.15,5.0,11.0,0.455,1.0,5.0,0.2,11.0,14.0,0.786,1.0,10.0,11.0,11.0,3.0,0.0,6.0,3.0,22.0,15.0,Starter,0.641,0.5,0.455,1.273,3.1,37.2,18.5,41.3,4.3,0.0,25.9,27.0,120.0,105.0,9.0,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerry Kittles,37.233333333333334,4.0,12.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,4.0,2.0,6.0,3.0,0.0,0.0,1.0,3.0,12.0,15.0,Starter,0.466,0.417,0.417,0.167,12.7,7.6,10.4,11.2,0.0,0.0,7.2,16.6,128.0,119.0,-2.1,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Martin,35.25,12.0,21.0,0.571,0.0,0.0,,5.0,8.0,0.625,7.0,2.0,9.0,3.0,0.0,0.0,0.0,5.0,29.0,17.0,Starter,0.591,0.571,0.0,0.381,23.4,8.1,16.5,17.5,0.0,0.0,0.0,31.0,148.0,118.0,6.8,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Jefferson,33.28333333333333,8.0,11.0,0.727,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,3.0,0.0,0.0,2.0,5.0,16.0,23.0,Starter,0.727,0.727,0.0,0.0,7.1,17.1,11.6,15.4,0.0,0.0,15.4,17.4,134.0,117.0,2.1,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Collins,25.583333333333332,1.0,4.0,0.25,0.0,0.0,,4.0,4.0,1.0,1.0,6.0,7.0,2.0,0.0,3.0,0.0,1.0,6.0,19.0,Starter,0.521,0.25,0.0,1.0,4.5,32.6,17.2,9.7,0.0,8.8,0.0,9.8,154.0,107.0,7.4,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Williams,21.183333333333334,5.0,7.0,0.714,0.0,0.0,,2.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,3.0,12.0,-7.0,Reserve,0.761,0.714,0.0,0.286,11.1,13.4,12.2,0.0,2.6,3.6,0.0,16.6,172.0,109.0,8.6,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Rogers,17.983333333333334,3.0,7.0,0.429,2.0,3.0,0.667,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,-11.0,Reserve,0.538,0.571,0.429,0.143,6.5,0.0,3.6,0.0,0.0,0.0,21.2,23.2,93.0,120.0,-9.1,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucious Harris,17.933333333333334,2.0,8.0,0.25,1.0,3.0,0.333,3.0,4.0,0.75,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,8.0,-6.0,Reserve,0.41,0.313,0.375,0.5,13.0,0.0,7.1,7.7,3.0,0.0,0.0,24.0,125.0,114.0,-2.8,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Johnson,12.066666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,-1.0,Reserve,,,,,0.0,0.0,0.0,20.0,0.0,0.0,100.0,3.7,70.0,120.0,-7.6,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamar Slay,0.6666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120.0,-4.2,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Scalabrine,0.6666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120.0,-4.3,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Payton,39.8,10.0,19.0,0.526,0.0,1.0,0.0,4.0,5.0,0.8,2.0,2.0,4.0,8.0,1.0,0.0,3.0,3.0,24.0,-24.0,Starter,0.566,0.526,0.053,0.263,7.1,5.9,6.4,36.9,1.4,0.0,12.4,28.9,116.0,131.0,2.2,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Mason,34.75,7.0,13.0,0.538,0.0,1.0,0.0,1.0,3.0,0.333,1.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,15.0,-10.0,Starter,0.524,0.538,0.077,0.231,4.0,10.0,7.3,4.8,1.6,0.0,6.5,20.9,103.0,129.0,-3.5,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
