Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Udonis Haslem,43.53333333333333,7.0,21.0,0.333,0.0,0.0,,1.0,4.0,0.25,2.0,6.0,8.0,5.0,0.0,0.0,3.0,1.0,15.0,-5.0,Starter,0.33,0.333,0.0,0.19,6.5,17.4,12.3,21.8,0.0,0.0,11.6,28.9,79.0,113.0,-7.1,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Jones,40.38333333333333,3.0,9.0,0.333,2.0,6.0,0.333,0.0,0.0,,1.0,5.0,6.0,3.0,3.0,0.0,0.0,3.0,8.0,4.0,Starter,0.444,0.444,0.667,0.0,3.5,15.6,9.9,12.1,4.2,0.0,0.0,10.9,117.0,105.0,3.5,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Williams,38.31666666666667,7.0,9.0,0.778,3.0,3.0,1.0,4.0,5.0,0.8,0.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,21.0,6.0,Starter,0.938,0.944,0.333,0.556,0.0,6.6,3.5,15.5,1.5,0.0,15.2,16.8,156.0,114.0,9.2,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Posey,37.983333333333334,4.0,10.0,0.4,0.0,4.0,0.0,2.0,2.0,1.0,3.0,6.0,9.0,4.0,0.0,0.0,1.0,4.0,10.0,-9.0,Starter,0.46,0.4,0.4,0.2,11.2,20.0,15.8,18.1,0.0,0.0,8.4,15.3,115.0,113.0,-0.5,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille O'Neal,35.85,9.0,13.0,0.692,0.0,0.0,,5.0,11.0,0.455,4.0,4.0,8.0,2.0,0.0,0.0,5.0,4.0,23.0,3.0,Starter,0.645,0.692,0.0,0.846,15.8,14.1,14.9,12.8,0.0,0.0,21.9,31.1,105.0,114.0,0.5,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Walker,18.9,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,4.0,2.0,5.0,-11.0,Reserve,0.868,0.75,1.0,1.0,0.0,26.7,14.1,8.3,0.0,0.0,58.1,17.8,71.0,110.0,-7.3,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Payton,13.483333333333333,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,-11.0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,4.2,0.0,0.0,3.6,93.0,110.0,-2.0,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Mourning,11.55,2.0,5.0,0.4,0.0,0.0,,2.0,6.0,0.333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,-7.0,Reserve,0.393,0.4,0.0,1.2,12.2,0.0,5.8,0.0,0.0,0.0,0.0,32.3,91.0,119.0,-9.3,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheed Wallace,36.9,6.0,13.0,0.462,2.0,5.0,0.4,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,2.0,0.0,5.0,14.0,13.0,Starter,0.538,0.538,0.385,0.0,6.8,15.3,10.8,9.6,0.0,4.7,0.0,17.1,125.0,105.0,3.5,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauncey Billups,35.166666666666664,7.0,14.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,1.0,4.0,5.0,2.0,2.0,0.0,3.0,1.0,17.0,1.0,Starter,0.555,0.536,0.214,0.214,3.6,16.1,9.5,10.7,3.2,0.0,16.4,25.3,100.0,102.0,1.8,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayshaun Prince,31.983333333333334,2.0,9.0,0.222,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,Starter,0.253,0.222,0.222,0.222,3.9,13.2,8.3,9.4,0.0,0.0,9.2,16.5,67.0,110.0,-9.5,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Hamilton,31.433333333333334,6.0,11.0,0.545,0.0,0.0,,7.0,7.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,4.0,19.0,8.0,Starter,0.675,0.545,0.0,0.636,12.1,4.5,8.5,5.9,1.8,0.0,17.6,26.4,123.0,107.0,2.9,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Webber,27.283333333333335,1.0,4.0,0.25,0.0,0.0,,3.0,4.0,0.75,2.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,5.0,-6.0,Starter,0.434,0.25,0.0,1.0,9.3,5.2,7.3,21.2,2.1,0.0,14.8,12.1,112.0,107.0,0.9,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio McDyess,23.083333333333332,5.0,11.0,0.455,0.0,0.0,,2.0,2.0,1.0,2.0,5.0,7.0,1.0,1.0,1.0,0.0,6.0,12.0,10.0,Reserve,0.505,0.455,0.0,0.182,10.9,30.6,20.2,8.5,2.5,3.8,0.0,25.0,119.0,94.0,2.1,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Murray,22.966666666666665,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,0.0,2.0,0.0,4.0,9.0,Reserve,0.4,0.4,0.4,0.0,0.0,18.4,8.7,33.9,0.0,0.0,28.6,14.8,85.0,108.0,-3.3,200704010DET,2007-04-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
