Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
Kirk Hinrich,34.63333333333333,10,18,0.556,3,5,0.6,3,4,0.75,0,4,4,3,2,0,0,2,26,23,Starter,0.658,0.639,0.278,0.222,0.0,13.9,7.1,16.5,3.0,0.0,0.0,25.1,146,73,14.1,200610310MIA,2006-10-31 20:00:00
Ben Wallace,28.483333333333334,2,5,0.4,0,0,,1,1,1.0,6,5,11,1,0,1,0,2,5,13,Starter,0.46,0.4,0.0,0.2,26.6,21.1,23.8,4.7,0.0,3.5,0.0,8.4,144,75,3.5,200610310MIA,2006-10-31 20:00:00
Luol Deng,24.116666666666667,4,9,0.444,0,0,,4,6,0.667,1,1,2,1,1,0,3,2,12,8,Starter,0.515,0.444,0.0,0.667,5.2,5.0,5.1,6.4,2.2,0.0,20.5,26.7,93,76,-3.9,200610310MIA,2006-10-31 20:00:00
Ben Gordon,22.933333333333334,1,9,0.111,0,2,0.0,4,5,0.8,0,1,1,2,1,0,2,3,6,7,Starter,0.268,0.111,0.222,0.556,0.0,5.2,2.7,11.3,2.3,0.0,15.2,25.3,64,75,-13.3,200610310MIA,2006-10-31 20:00:00
P.J. Brown,18.383333333333333,1,2,0.5,0,0,,2,2,1.0,0,3,3,1,1,1,2,3,4,15,Starter,0.694,0.5,0.0,1.0,0.0,19.6,10.0,7.2,2.8,5.4,41.0,11.7,90,67,2.1,200610310MIA,2006-10-31 20:00:00
Andrés Nocioni,28.9,4,8,0.5,1,3,0.333,0,0,,1,10,11,2,0,0,2,2,9,28,Reserve,0.563,0.563,0.375,0.0,4.4,41.5,23.4,10.3,0.0,0.0,20.0,15.2,103,75,1.4,200610310MIA,2006-10-31 20:00:00
Chris Duhon,16.666666666666668,7,8,0.875,3,3,1.0,3,3,1.0,0,2,2,3,0,0,1,0,20,18,Reserve,1.073,1.063,0.375,0.375,0.0,14.4,7.4,45.9,0.0,0.0,9.7,27.2,189,79,33.3,200610310MIA,2006-10-31 20:00:00
Tyrus Thomas,16.383333333333333,1,4,0.25,0,0,,2,6,0.333,1,4,5,2,1,2,3,3,4,15,Reserve,0.301,0.25,0.0,1.5,7.7,29.3,18.8,16.2,3.2,12.2,31.1,25.9,60,59,-4.9,200610310MIA,2006-10-31 20:00:00
Viktor Khryapa,14.0,2,4,0.5,0,0,,1,2,0.5,1,3,4,3,1,0,2,2,5,28,Reserve,0.512,0.5,0.0,0.5,9.0,25.7,17.6,32.0,3.7,0.0,29.1,21.6,97,69,5.3,200610310MIA,2006-10-31 20:00:00
Malik Allen,13.7,2,6,0.333,0,0,,0,0,,1,2,3,1,1,1,0,1,4,19,Reserve,0.333,0.333,0.0,0.0,9.2,17.5,13.5,11.0,3.8,7.3,0.0,19.3,95,65,3.5,200610310MIA,2006-10-31 20:00:00
Adrian Griffin,11.233333333333333,1,2,0.5,0,0,,0,0,,0,1,1,2,0,0,1,0,2,19,Reserve,0.5,0.5,0.0,0.0,0.0,10.7,5.5,24.6,0.0,0.0,33.3,11.8,93,80,0.7,200610310MIA,2006-10-31 20:00:00
Thabo Sefolosha,10.566666666666666,4,4,1.0,0,0,,3,3,1.0,2,0,2,1,2,0,0,1,11,17,Reserve,1.034,1.0,0.0,0.75,23.9,0.0,11.6,21.8,9.9,0.0,0.0,22.2,216,60,39.9,200610310MIA,2006-10-31 20:00:00
Antoine Walker,35.78333333333333,3,9,0.333,0,6,0.0,3,6,0.5,0,6,6,2,1,2,3,3,9,-24,Starter,0.387,0.333,0.667,0.667,0.0,21.2,10.3,12.8,1.5,4.1,20.5,20.5,66,113,-2.9,200610310MIA,2006-10-31 20:00:00
Gary Payton,34.68333333333333,1,5,0.2,1,4,0.25,4,5,0.8,0,3,3,4,1,0,4,4,7,-16,Starter,0.486,0.3,0.8,1.0,0.0,10.9,5.3,23.4,1.5,0.0,35.7,16.2,74,118,-6.1,200610310MIA,2006-10-31 20:00:00
Dwyane Wade,34.11666666666667,10,15,0.667,2,3,0.667,3,6,0.5,1,1,2,3,1,0,4,3,25,-23,Starter,0.709,0.733,0.2,0.4,3.5,3.7,3.6,38.6,1.5,0.0,18.5,31.8,111,120,9.2,200610310MIA,2006-10-31 20:00:00
Udonis Haslem,27.566666666666666,3,9,0.333,0,0,,0,0,,0,6,6,0,1,0,0,2,6,-13,Starter,0.333,0.333,0.0,0.0,0.0,27.5,13.4,0.0,1.9,0.0,0.0,16.4,65,112,-4.4,200610310MIA,2006-10-31 20:00:00
Shaquille O'Neal,24.433333333333334,3,10,0.3,0,0,,1,2,0.5,3,2,5,0,0,1,3,2,7,-19,Starter,0.322,0.3,0.0,0.2,14.7,10.3,12.6,0.0,0.0,3.0,21.6,28.5,59,120,-12.2,200610310MIA,2006-10-31 20:00:00
James Posey,22.583333333333332,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,1,3,2,-32,Reserve,1.0,1.0,0.0,0.0,0.0,5.6,2.7,9.3,0.0,0.0,50.0,4.4,97,123,-6.4,200610310MIA,2006-10-31 20:00:00
Alonzo Mourning,15.383333333333333,0,2,0.0,0,0,,1,2,0.5,0,2,2,0,0,0,2,1,1,-9,Reserve,0.174,0.0,0.0,1.0,0.0,16.4,8.0,0.0,0.0,0.0,41.0,15.9,21,120,-16.2,200610310MIA,2006-10-31 20:00:00
Chris Quinn,13.85,1,5,0.2,0,2,0.0,0,0,,0,0,0,3,0,0,0,2,2,-21,Reserve,0.2,0.2,0.4,0.0,0.0,0.0,0.0,48.3,0.0,0.0,0.0,18.1,62,124,-8.9,200610310MIA,2006-10-31 20:00:00
Jason Kapono,10.533333333333333,1,1,1.0,0,0,,1,1,1.0,0,0,0,0,1,0,0,0,3,-17,Reserve,1.042,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.9,218,115,7.1,200610310MIA,2006-10-31 20:00:00
