Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Mario Chalmers,43.7,5.0,11.0,0.455,1.0,2.0,0.5,3.0,6.0,0.5,0.0,1.0,1.0,6.0,1.0,0.0,1.0,3.0,14.0,-2.0,Starter,0.513,0.5,0.182,0.545,0.0,2.9,1.4,20.3,1.3,0.0,6.8,16.8,110,121,-0.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,43.3,16.0,26.0,0.615,1.0,4.0,0.25,1.0,5.0,0.2,0.0,8.0,8.0,5.0,2.0,2.0,3.0,4.0,34.0,-6.0,Starter,0.603,0.635,0.154,0.192,0.0,23.3,11.7,27.4,2.5,3.8,9.6,36.1,110,109,12.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,41.6,9.0,20.0,0.45,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,4.0,1.0,2.0,3.0,4.0,18.0,-8.0,Starter,0.45,0.45,0.0,0.0,6.1,6.1,6.1,16.7,1.3,3.9,13.0,27.7,88,117,-1.2,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Battier,38.166666666666664,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,-1.0,Starter,0.0,0.0,0.667,0.0,0.0,9.9,5.0,13.2,0.0,0.0,14.3,9.2,33,121,-10.2,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronny Turiaf,8.966666666666667,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,-4.0,Starter,0.798,1.0,0.0,2.0,14.1,28.2,21.1,0.0,0.0,0.0,34.7,16.1,109,115,-5.3,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Miller,20.55,4.0,8.0,0.5,3.0,6.0,0.5,0.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,Reserve,0.652,0.688,0.75,0.125,6.1,30.7,18.4,0.0,0.0,0.0,0.0,20.6,126,115,6.5,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udonis Haslem,16.416666666666668,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,-12.0,Reserve,0.521,0.5,0.0,1.0,15.4,30.8,23.1,0.0,0.0,5.0,0.0,8.8,131,112,0.0,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Anthony,11.65,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-9.0,Reserve,1.064,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,227,124,1.2,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Jones,10.25,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,-11.0,Reserve,0.694,0.5,0.5,1.0,0.0,12.3,6.2,0.0,5.4,0.0,25.8,19.0,103,109,1.1,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norris Cole,2.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,Reserve,,,,,0.0,0.0,0.0,48.6,0.0,0.0,,0.0,213,123,-1.1,201206010BOS,2012-06-01 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
