Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Stephen Curry,43.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.675,0.675,0.65,0.0,4.0,12.9,7.4,26.3,3.6,2.0,23.1,26.1,111,102,12.6,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,10.0,20.0,0.5,7.0,13.0,0.538,0.0,0.0,,2.0,4.0,6.0,6.0,3.0,1.0,6.0,2.0,27.0,-6.0
Klay Thompson,38.81666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.438,0.438,0.438,0.0,2.2,14.5,6.9,4.3,0.0,2.2,5.9,19.2,94,109,-3.7,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,6.0,16.0,0.375,2.0,7.0,0.286,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,1.0,4.0,14.0,-1.0
Draymond Green,30.05,,,,,,,,,,,,,,,,,,,,Starter,0.309,0.25,0.4,0.3,8.7,18.8,12.6,14.6,1.8,0.0,8.1,18.0,88,107,-3.6,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,2.0,10.0,0.2,1.0,4.0,0.25,2.0,3.0,0.667,3.0,4.0,7.0,3.0,1.0,0.0,1.0,4.0,7.0,-14.0
Harrison Barnes,19.316666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.0,0.0,0.125,0.0,13.6,0.0,8.4,0.0,0.0,0.0,27.3,25.0,16,114,-28.2,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,-14.0
Andrew Bogut,17.116666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.667,0.667,0.0,0.0,5.1,41.2,18.9,9.2,0.0,5.1,0.0,7.7,153,103,4.2,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,-9.0
Andre Iguodala,36.3,,,,,,,,,,,,,,,,,,,,Reserve,0.582,0.583,0.667,0.167,2.4,15.6,7.4,23.6,0.0,2.4,0.0,15.6,139,109,8.2,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,6.0,12.0,0.5,2.0,8.0,0.25,1.0,2.0,0.5,1.0,4.0,5.0,5.0,0.0,1.0,0.0,1.0,15.0,6.0
Festus Ezeli,17.55,,,,,,,,,,,,,,,,,,,,Reserve,0.363,0.333,0.0,0.333,14.9,32.2,21.5,9.0,0.0,9.9,22.5,22.2,78,100,-3.2,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,2.0,6.0,0.333,0.0,0.0,,1.0,2.0,0.5,3.0,4.0,7.0,1.0,0.0,2.0,2.0,1.0,5.0,-9.0
David Lee,13.283333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.887,1.0,0.0,1.25,13.1,21.3,16.2,33.5,4.0,0.0,0.0,20.5,186,101,22.5,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,4.0,4.0,1.0,0.0,0.0,,3.0,5.0,0.6,2.0,2.0,4.0,2.0,1.0,0.0,0.0,5.0,11.0,17.0
Shaun Livingston,13.2,,,,,,,,,,,,,,,,,,,,Reserve,0.5,0.5,0.25,0.0,13.2,0.0,8.2,25.3,0.0,0.0,20.0,16.6,108,113,-3.0,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,4.0,-6.0
Leandro Barbosa,10.6,,,,,,,,,,,,,,,,,,,,Reserve,0.286,0.286,0.0,0.0,0.0,13.3,5.1,0.0,5.0,8.2,0.0,29.0,67,94,-1.9,,,,,,,,,,,,,,,,,,,,201506090CLE,2015-06-09 21:00:00,2.0,7.0,0.286,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,11.0
