Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Serge Ibaka,31.616666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.475,0.471,0.294,0.118,6.3,15.2,10.4,5.1,1.5,4.7,0.0,24.3,103.0,117.0,-1.5,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,8.0,17.0,0.471,0.0,5.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,1.0,1.0,2.0,0.0,2.0,17.0,-21.0
Jodie Meeks,29.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.557,0.5,0.889,0.222,0.0,12.1,5.5,8.7,0.0,0.0,9.2,15.7,108.0,125.0,-4.5,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,3.0,9.0,0.333,3.0,8.0,0.375,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,11.0,-14.0
Aaron Gordon,27.666666666666668,,,,,,,,,,,,,,,,,,,,Starter,0.553,0.45,0.5,0.4,7.2,17.3,11.8,0.0,3.5,2.7,14.5,21.3,102.0,114.0,-2.7,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,4.0,10.0,0.4,1.0,5.0,0.2,4.0,4.0,1.0,2.0,4.0,6.0,0.0,2.0,1.0,2.0,4.0,13.0,-4.0
Bismack Biyombo,22.9,,,,,,,,,,,,,,,,,,,,Starter,0.699,0.667,0.0,0.167,8.7,21.0,14.3,6.2,0.0,0.0,13.4,13.9,129.0,123.0,-3.2,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,4.0,6.0,0.667,0.0,0.0,,1.0,1.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,1.0,3.0,9.0,-16.0
D.J. Augustin,14.7,,,,,,,,,,,,,,,,,,,,Starter,0.417,0.417,0.667,0.0,0.0,0.0,0.0,27.6,3.3,0.0,14.3,20.4,88.0,120.0,-3.7,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,-3.0
Nikola Vučević,29.533333333333335,,,,,,,,,,,,,,,,,,,,Reserve,0.5,0.5,0.111,0.0,3.4,40.6,20.3,5.9,1.7,5.1,5.3,27.6,97.0,111.0,-1.0,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,9.0,18.0,0.5,0.0,2.0,0.0,0.0,0.0,,1.0,10.0,11.0,1.0,1.0,2.0,1.0,4.0,18.0,-4.0
Elfrid Payton,28.9,,,,,,,,,,,,,,,,,,,,Reserve,0.125,0.125,0.25,0.0,3.5,8.3,5.7,28.8,0.0,2.6,27.3,16.3,55.0,123.0,-14.8,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,7.0,0.0,1.0,3.0,3.0,2.0,-17.0
Jeff Green,22.966666666666665,,,,,,,,,,,,,,,,,,,,Reserve,0.708,0.708,0.5,0.0,4.4,5.2,4.8,15.3,0.0,0.0,7.7,24.3,129.0,126.0,5.8,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,7.0,12.0,0.583,3.0,6.0,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,17.0,-3.0
C.J. Watson,18.75,,,,,,,,,,,,,,,,,,,,Reserve,0.25,0.25,0.833,0.0,0.0,25.6,11.6,32.5,2.6,0.0,0.0,13.7,88.0,117.0,-3.5,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,,0.0,4.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,-4.0
Mario Hezonja,4.4,,,,,,,,,,,,,,,,,,,,Reserve,0.868,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,28.1,176.0,111.0,29.8,,,,,,,,,,,,,,,,,,,,201701010IND,2017-01-01 18:00:00,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0
