Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime
LeBron James,43.85,10,20,0.5,2,4,0.5,7,9,0.778,1,8,9,13,2,0,5,2,29,-18,Starter,0.605,0.55,0.2,0.45,2.2,26.5,11.9,54.6,2.3,0.0,17.3,28.4,119,130,9.4,201806030GSW,2018-06-03 20:00:00
Kevin Love,34.9,7,18,0.389,3,8,0.375,5,5,1.0,4,6,10,1,2,1,1,1,22,-12,Starter,0.545,0.472,0.444,0.278,11.0,25.0,16.6,5.0,2.9,3.0,4.7,26.2,121,126,4.5,201806030GSW,2018-06-03 20:00:00
George Hill,33.916666666666664,5,12,0.417,3,6,0.5,2,2,1.0,2,0,2,3,2,1,1,5,15,-11,Starter,0.582,0.542,0.5,0.167,5.7,0.0,3.4,14.2,3.0,3.1,7.2,17.6,125,128,2.5,201806030GSW,2018-06-03 20:00:00
J.R. Smith,31.116666666666667,2,9,0.222,1,4,0.25,0,1,0.0,0,1,1,2,2,0,1,0,5,-9,Starter,0.265,0.278,0.444,0.111,0.0,4.7,1.9,9.1,3.3,0.0,9.6,14.5,63,131,-8.8,201806030GSW,2018-06-03 20:00:00
Tristan Thompson,23.316666666666666,5,8,0.625,0,0,,1,2,0.5,3,2,5,0,0,0,0,2,11,-1,Starter,0.619,0.625,0.0,0.25,12.4,12.5,12.4,0.0,0.0,0.0,0.0,16.4,136,136,-3.0,201806030GSW,2018-06-03 20:00:00
Jeff Green,19.783333333333335,2,7,0.286,0,2,0.0,2,2,1.0,0,2,2,1,0,0,0,0,6,-11,Reserve,0.381,0.286,0.286,0.286,0.0,14.7,5.8,7.5,0.0,0.0,0.0,17.2,95,137,-8.9,201806030GSW,2018-06-03 20:00:00
Kyle Korver,17.35,0,3,0.0,0,1,0.0,1,1,1.0,2,0,2,1,0,1,0,2,1,-18,Reserve,0.145,0.0,0.333,0.333,11.1,0.0,6.7,7.5,0.0,6.0,0.0,8.5,83,133,-10.1,201806030GSW,2018-06-03 20:00:00
Larry Nance,12.366666666666667,0,1,0.0,0,0,,2,4,0.5,3,3,6,1,0,1,1,0,2,-13,Reserve,0.362,0.0,0.0,4.0,23.3,35.3,28.1,10.5,0.0,8.4,26.6,13.1,97,128,-3.9,201806030GSW,2018-06-03 20:00:00
Jordan Clarkson,8.066666666666666,1,4,0.25,0,0,,0,0,,0,1,1,1,1,0,1,1,2,-4,Reserve,0.25,0.25,0.0,0.0,0.0,18.0,7.2,19.2,6.4,0.0,20.0,26.7,54,121,-13.2,201806030GSW,2018-06-03 20:00:00
Cedi Osman,4.283333333333333,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,2,-1,Reserve,0.5,0.5,0.5,0.0,0.0,34.0,13.5,0.0,0.0,0.0,0.0,20.1,103,134,-5.2,201806030GSW,2018-06-03 20:00:00
Rodney Hood,4.15,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,2,-1,Reserve,0.5,0.5,0.5,0.0,0.0,35.0,13.9,45.5,0.0,0.0,0.0,20.8,124,134,3.8,201806030GSW,2018-06-03 20:00:00
José Calderón,3.45,2,3,0.667,0,0,,0,0,,1,1,2,1,0,0,0,0,4,2,Reserve,0.667,0.667,0.0,0.0,27.8,42.2,33.5,100.0,0.0,0.0,0.0,37.5,148,133,28.9,201806030GSW,2018-06-03 20:00:00
Ante Žižić,3.45,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,2,Reserve,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,200,133,-7.1,201806030GSW,2018-06-03 20:00:00
Draymond Green,39.35,2,4,0.5,0,2,0.0,1,2,0.5,2,6,8,7,0,1,0,5,5,19,Starter,0.512,0.5,0.5,0.5,7.4,14.6,11.8,19.2,0.0,1.9,0.0,5.8,161,112,2.5,201806030GSW,2018-06-03 20:00:00
Kevin Durant,38.166666666666664,10,14,0.714,2,3,0.667,4,4,1.0,0,9,9,7,0,2,3,3,26,24,Starter,0.825,0.786,0.214,0.286,0.0,22.6,13.6,25.6,0.0,4.0,16.0,22.9,147,107,12.4,201806030GSW,2018-06-03 20:00:00
Stephen Curry,37.88333333333333,11,26,0.423,9,17,0.529,2,2,1.0,1,6,7,8,1,0,5,3,33,19,Starter,0.614,0.596,0.654,0.077,3.8,15.2,10.7,30.7,1.4,0.0,15.7,39.1,114,110,6.8,201806030GSW,2018-06-03 20:00:00
Klay Thompson,33.7,8,13,0.615,3,8,0.375,1,2,0.5,0,2,2,1,1,0,2,3,20,11,Starter,0.72,0.731,0.615,0.154,0.0,5.7,3.4,4.0,1.5,0.0,12.6,21.9,120,114,1.3,201806030GSW,2018-06-03 20:00:00
JaVale McGee,17.8,6,6,1.0,0,0,,0,1,0.0,1,1,2,0,0,1,0,4,12,0,Starter,0.932,1.0,0.0,0.167,8.2,5.4,6.5,0.0,0.0,4.3,0.0,16.8,183,115,5.9,201806030GSW,2018-06-03 20:00:00
Shaun Livingston,15.3,5,5,1.0,0,0,,0,0,,1,4,5,1,0,0,1,1,10,8,Reserve,1.0,1.0,0.0,0.0,9.5,25.1,18.9,10.0,0.0,0.0,16.7,18.2,162,108,9.2,201806030GSW,2018-06-03 20:00:00
Nick Young,14.183333333333334,0,5,0.0,0,4,0.0,0,0,,0,1,1,0,0,0,0,1,0,0,Reserve,0.0,0.0,0.8,0.0,0.0,6.8,4.1,0.0,0.0,0.0,0.0,16.4,0,117,-22.9,201806030GSW,2018-06-03 20:00:00
Kevon Looney,11.466666666666667,0,0,,0,0,,0,4,0.0,0,1,1,1,0,0,0,0,0,6,Reserve,0.0,,,,0.0,8.4,5.0,8.9,0.0,0.0,0.0,7.1,38,116,-6.1,201806030GSW,2018-06-03 20:00:00
David West,10.933333333333334,1,1,1.0,1,1,1.0,0,0,,1,2,3,2,0,3,1,2,3,10,Reserve,1.5,1.5,1.0,0.0,13.3,17.6,15.9,20.6,0.0,20.9,50.0,8.5,158,99,20.0,201806030GSW,2018-06-03 20:00:00
Jordan Bell,10.866666666666667,2,3,0.667,0,0,,1,2,0.5,0,1,1,1,1,0,0,3,5,4,Reserve,0.644,0.667,0.0,0.667,0.0,8.8,5.3,11.6,4.7,0.0,0.0,16.6,139,105,3.0,201806030GSW,2018-06-03 20:00:00
Zaza Pachulia,3.45,1,2,0.5,0,0,,4,4,1.0,1,1,2,0,0,1,0,0,6,-2,Reserve,0.798,0.5,0.0,2.0,42.2,27.8,33.5,0.0,0.0,22.1,0.0,50.7,180,94,35.7,201806030GSW,2018-06-03 20:00:00
Quinn Cook,3.45,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,-2,Reserve,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,69,120,-22.8,201806030GSW,2018-06-03 20:00:00
