Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM
Zach LaVine,5.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Starter,4.0,6.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,201903010ATL,2019-03-01 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Porter,5.0,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Starter,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201903010ATL,2019-03-01 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Starter,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201903010ATL,2019-03-01 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Batum,39.68333333333333,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,6.0,11.0,0.545,4.0,8.0,0.5,1.0,2.0,0.5,0.0,6.0,6.0,5.0,0.0,1.0,2.0,3.0,17.0,10.0,0.715,0.727,0.727,0.182,0.0,19.6,9.4,14.1,0.0,2.2,14.4,14.7,131.0,113.0,4.2
Marvin Williams,38.35,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,5.0,8.0,0.625,1.0,2.0,0.5,0.0,0.0,,3.0,5.0,8.0,2.0,0.0,0.0,1.0,3.0,11.0,5.0,0.688,0.688,0.25,0.0,9.4,16.9,13.0,5.7,0.0,0.0,11.1,9.8,139.0,115.0,0.1
Kemba Walker,37.9,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,12.0,20.0,0.6,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,4.0,7.0,4.0,0.0,3.0,3.0,25.0,23.0,0.625,0.625,0.1,0.0,6.3,6.8,6.6,25.5,5.0,0.0,13.0,25.4,123.0,106.0,8.0
Cody Zeller,23.916666666666668,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,4.0,9.0,0.444,0.0,1.0,0.0,4.0,6.0,0.667,1.0,8.0,9.0,3.0,0.0,0.0,1.0,5.0,12.0,9.0,0.515,0.444,0.111,0.667,5.0,43.4,23.5,14.3,0.0,0.0,7.9,22.2,114.0,111.0,-2.3
Miles Bridges,17.933333333333334,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,7.0,3.0,0.7,0.7,0.2,0.0,0.0,7.2,3.5,6.4,5.3,0.0,0.0,11.7,147.0,105.0,7.7
Jeremy Lamb,34.71666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,7.0,15.0,0.467,1.0,3.0,0.333,7.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,22.0,9.0,0.608,0.5,0.2,0.467,0.0,3.7,1.8,0.0,0.0,2.6,0.0,21.8,132.0,115.0,-1.0
Frank Kaminsky,24.083333333333332,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,7.0,12.0,0.583,1.0,2.0,0.5,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,1.0,4.0,5.0,15.0,2.0,0.625,0.625,0.167,0.0,14.9,21.5,18.1,5.5,0.0,3.7,25.0,27.9,101.0,112.0,-5.0
Tony Parker,18.433333333333334,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,6.0,12.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,1.0,1.0,1.0,12.0,1.0,0.5,0.5,0.167,0.0,0.0,14.1,6.8,37.9,0.0,4.8,7.7,29.6,112.0,112.0,1.7
Bismack Biyombo,4.95,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,-7.0,0.347,0.0,0.0,1.0,24.2,26.2,25.2,0.0,0.0,0.0,25.8,32.9,75.0,114.0,-23.0
D'Angelo Russell,28.3,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,9.0,24.0,0.375,1.0,7.0,0.143,3.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,22.0,-13.0,0.434,0.396,0.292,0.125,0.0,0.0,0.0,53.1,0.0,0.0,10.6,44.1,96.0,127.0,-6.3
Joe Harris,28.0,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,,2.0,5.0,7.0,2.0,1.0,1.0,2.0,2.0,9.0,-26.0,0.643,0.643,0.571,0.0,9.3,21.4,15.6,9.2,1.7,2.3,22.2,14.2,111.0,117.0,-0.4
Caris LeVert,23.766666666666666,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,6.0,11.0,0.545,2.0,4.0,0.5,0.0,0.0,,2.0,5.0,7.0,4.0,0.0,1.0,3.0,2.0,14.0,-6.0,0.636,0.636,0.364,0.0,10.9,25.2,18.4,25.3,0.0,2.8,21.4,26.0,110.0,120.0,2.3
Jarrett Allen,23.0,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,4.0,5.0,0.8,0.0,0.0,,2.0,4.0,0.5,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,10.0,-23.0,0.74,0.8,0.0,0.8,0.0,10.4,5.4,11.7,0.0,2.9,12.9,14.9,131.0,122.0,1.5
Treveon Graham,17.883333333333333,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,-7.0,0.5,0.5,0.6,0.0,0.0,13.4,7.0,0.0,0.0,3.7,16.7,14.8,79.0,121.0,-6.1
DeMarre Carroll,26.166666666666668,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,5.0,10.0,0.5,3.0,5.0,0.6,7.0,8.0,0.875,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,20.0,-1.0,0.74,0.65,0.5,0.8,0.0,27.5,14.3,5.3,0.0,2.5,0.0,22.8,153.0,119.0,9.3
Spencer Dinwiddie,23.266666666666666,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,6.0,13.0,0.462,1.0,5.0,0.2,2.0,3.0,0.667,0.0,0.0,0.0,4.0,1.0,0.0,2.0,5.0,15.0,2.0,0.524,0.5,0.385,0.231,0.0,0.0,0.0,26.1,2.0,0.0,12.3,30.9,101.0,122.0,-5.6
Allen Crabbe,22.733333333333334,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,5.0,-4.0,0.625,0.625,0.75,0.0,0.0,10.6,5.5,5.3,0.0,0.0,0.0,7.8,130.0,125.0,-4.5
Rodions Kurucs,17.983333333333334,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,9.0,0.75,0.75,0.25,0.0,14.4,6.7,10.4,7.4,0.0,0.0,20.0,12.3,132.0,126.0,-2.0
Rondae Hollis-Jefferson,15.266666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,3.0,3.0,1.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,6.0,11.0,1.0,1.0,0.0,0.0,8.5,23.6,16.3,27.3,0.0,0.0,25.0,11.5,159.0,122.0,6.2
Ed Davis,9.733333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,0.0,49.3,25.6,0.0,0.0,0.0,,0.0,0.0,117.0,-7.4
Shabazz Napier,3.8833333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010BRK,2019-03-01 19:30:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.3,0.0,127.0,-21.9
Bradley Beal,38.5,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010BOS,2019-03-01 20:00:00,12.0,23.0,0.522,4.0,10.0,0.4,1.0,2.0,0.5,1.0,10.0,11.0,6.0,2.0,1.0,3.0,2.0,29.0,-11.0,0.607,0.609,0.435,0.087,2.7,23.5,13.9,35.6,2.5,2.1,11.2,29.1,116.0,101.0,12.4
