Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Paul George,39.333333333333336,4.0,20.0,0.2,0.0,10.0,0.0,3.0,4.0,0.75,1.0,9.0,10.0,3.0,4.0,3.0,2.0,1.0,11.0,9.0,Starter,0.253,0.2,0.5,0.2,2.3,23.9,12.2,10.1,4.7,7.0,8.4,24.4,62.0,94.0,-4.8,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,37.13333333333333,12.0,24.0,0.5,0.0,3.0,0.0,5.0,7.0,0.714,1.0,7.0,8.0,10.0,3.0,0.0,3.0,3.0,29.0,3.0,Starter,0.535,0.5,0.125,0.292,2.4,19.7,10.3,50.7,3.7,0.0,10.0,32.7,113.0,101.0,9.1,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,33.88333333333333,1.0,5.0,0.2,0.0,0.0,,3.0,4.0,0.75,7.0,5.0,12.0,0.0,3.0,3.0,2.0,2.0,5.0,6.0,Starter,0.37,0.2,0.0,0.8,18.4,15.4,17.0,0.0,4.1,8.2,22.8,10.4,97.0,97.0,-1.8,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,24.766666666666666,3.0,7.0,0.429,1.0,3.0,0.333,3.0,4.0,0.75,1.0,5.0,6.0,1.0,0.0,2.0,0.0,2.0,10.0,-16.0,Starter,0.571,0.5,0.429,0.571,3.6,21.1,11.6,5.5,0.0,7.5,0.0,14.3,130.0,105.0,2.0,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,17.633333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,-7.0,Starter,0.0,0.0,1.0,0.0,0.0,5.9,2.7,6.6,0.0,0.0,50.0,4.6,25.0,114.0,-15.2,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álex Abrines,30.266666666666666,9.0,15.0,0.6,5.0,10.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,25.0,16.0,Reserve,0.787,0.767,0.667,0.133,0.0,6.9,3.2,0.0,0.0,0.0,0.0,21.2,158.0,114.0,7.4,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Schröder,30.266666666666666,7.0,15.0,0.467,2.0,6.0,0.333,5.0,8.0,0.625,1.0,2.0,3.0,5.0,1.0,0.0,2.0,3.0,21.0,12.0,Reserve,0.567,0.533,0.4,0.533,2.9,6.9,4.8,26.5,1.5,0.0,9.7,27.4,116.0,110.0,3.0,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamidou Diallo,10.766666666666667,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,Reserve,0.75,0.75,0.25,0.0,16.5,0.0,8.9,0.0,0.0,0.0,0.0,15.0,160.0,116.0,2.8,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nerlens Noel,8.65,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,-5.0,Reserve,1.0,1.0,0.0,0.0,10.3,12.1,11.1,0.0,5.4,10.7,0.0,9.3,203.0,94.0,13.0,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Patterson,7.25,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Reserve,0.0,0.0,1.0,0.0,0.0,43.2,19.9,0.0,0.0,0.0,0.0,16.7,0.0,102.0,-19.4,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Batum,35.65,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,,1.0,6.0,7.0,6.0,2.0,0.0,4.0,4.0,10.0,5.0,Starter,0.625,0.625,0.5,0.0,2.9,15.0,9.4,24.8,2.6,0.0,33.3,13.5,96.0,105.0,1.5,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemba Walker,31.15,7.0,16.0,0.438,2.0,8.0,0.25,5.0,5.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,2.0,3.0,21.0,2.0,Starter,0.577,0.5,0.5,0.313,3.3,11.4,7.7,34.0,1.5,0.0,9.9,26.0,119.0,109.0,5.9,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Zeller,27.233333333333334,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,6.0,8.0,4.0,0.0,1.0,3.0,4.0,5.0,3.0,Starter,0.512,0.5,0.0,0.5,7.7,19.6,14.1,20.5,0.0,3.0,38.1,11.6,89.0,107.0,-2.9,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Lamb,25.083333333333332,5.0,12.0,0.417,1.0,7.0,0.143,2.0,2.0,1.0,0.0,9.0,9.0,2.0,1.0,0.0,0.0,1.0,13.0,1.0,Starter,0.505,0.458,0.583,0.167,0.0,31.9,17.2,13.5,1.8,0.0,0.0,20.6,111.0,101.0,4.0,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,17.966666666666665,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,Starter,0.333,0.333,0.333,0.0,0.0,9.9,5.3,0.0,0.0,0.0,14.3,15.6,58.0,113.0,-12.5,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Kidd-Gilchrist,24.816666666666666,3.0,10.0,0.3,0.0,2.0,0.0,3.0,3.0,1.0,3.0,6.0,9.0,0.0,1.0,0.0,1.0,3.0,9.0,-25.0,Reserve,0.398,0.3,0.2,0.3,12.6,21.5,17.4,0.0,1.9,0.0,8.1,19.9,90.0,104.0,-6.1,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Parker,23.4,5.0,12.0,0.417,1.0,2.0,0.5,6.0,7.0,0.857,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,17.0,-2.0,Reserve,0.564,0.458,0.167,0.583,4.5,0.0,2.1,29.6,0.0,0.0,6.2,27.6,122.0,117.0,4.0,201811010CHO,2018-11-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
