Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Jayson Tatum,42.1,8.0,17.0,0.471,4.0,7.0,0.571,14.0,14.0,1.0,0.0,8.0,8.0,6.0,1.0,0.0,4.0,1.0,34.0,5.0,Starter,0.734,0.588,0.412,0.824,0.0,19.4,10.7,29.9,1.1,0.0,14.7,29.8,133.0,102.0,12.2,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Smart,38.6,6.0,13.0,0.462,6.0,11.0,0.545,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,5.0,3.0,19.0,1.0,Starter,0.707,0.692,0.846,0.077,0.0,7.9,4.4,5.1,0.0,5.0,27.1,22.0,93.0,103.0,0.9,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemba Walker,38.266666666666666,6.0,18.0,0.333,1.0,8.0,0.125,4.0,5.0,0.8,0.0,6.0,6.0,4.0,0.0,0.0,2.0,1.0,17.0,-3.0,Starter,0.421,0.361,0.444,0.278,0.0,16.0,8.9,20.5,0.0,0.0,9.0,26.8,86.0,105.0,-5.8,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,35.93333333333333,5.0,13.0,0.385,3.0,8.0,0.375,3.0,3.0,1.0,0.0,8.0,8.0,2.0,3.0,2.0,4.0,4.0,16.0,1.0,Starter,0.559,0.5,0.615,0.231,0.0,22.7,12.6,10.6,4.0,5.3,21.8,23.5,88.0,91.0,3.4,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Theis,30.45,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,,0.0,9.0,9.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,Starter,0.3,0.3,0.2,0.0,0.0,30.2,16.7,10.4,1.6,9.5,0.0,7.6,79.0,92.0,2.7,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Williams,18.516666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,Reserve,0.5,0.5,0.0,0.0,13.6,11.0,12.2,17.6,0.0,0.0,0.0,5.0,158.0,106.0,0.2,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Williams,17.55,5.0,5.0,1.0,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,11.0,2.0,Reserve,0.935,1.0,0.0,0.4,14.4,11.6,12.9,0.0,0.0,5.5,14.5,18.1,156.0,102.0,7.1,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semi Ojeleye,10.033333333333333,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Reserve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,13.8,0.0,98.0,-10.1,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Wanamaker,8.55,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,-3.0,Reserve,,,,,0.0,23.9,13.2,17.5,0.0,11.2,100.0,5.4,50.0,95.0,-3.2,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,43.1,6.0,16.0,0.375,1.0,4.0,0.25,4.0,4.0,1.0,2.0,6.0,8.0,6.0,3.0,1.0,1.0,2.0,17.0,-2.0,Starter,0.479,0.406,0.25,0.25,4.7,17.6,10.5,22.8,3.4,2.9,5.3,18.9,107.0,100.0,5.4,202009010TOR,2020-09-01 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
