player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Ledell Eackles,1989,1998,,6-5,220,"November 24, 1966",New Orleans,Career,,,NBA,441,88,20.2,4.1,9.2,.445,0.3,0.9,.336,3.8,8.3,.457,.461,2.3,3.0,.767,0.8,1.4,2.2,1.7,0.6,0.1,1.4,1.8,10.8
Jim Eakins,1969,1978,,6-11,215,"May 24, 1946",BYU,Career,,,TOT,767,,24.8,3.8,7.5,.504,0.0,0.0,.000,3.8,7.5,.504,.504,3.2,4.1,.788,2.5,4.8,7.3,1.8,0.5,1.0,2.0,3.0,10.8
Acie Earl,1994,1997,,6-10,240,"June 23, 1970",Iowa,Career,,,NBA,193,18,13.0,1.9,4.6,.403,0.0,0.0,.000,1.9,4.6,.407,.403,1.3,2.0,.667,1.0,1.7,2.7,0.3,0.3,0.7,0.9,1.8,5.1
Ed Earle,1954,1954,,6-3,190,"April 28, 1927",Loyola Chicago,Career,,,NBA,2,,6.0,0.5,1.0,.500,,,,,,,,1.0,2.0,.500,,,1.0,0.0,,,,0.0,2.0
Cleanthony Early,2015,2016,,6-8,210,"April 17, 1991",Wichita State,Career,,,NBA,56,9,14.3,1.6,4.5,.346,0.5,1.8,.263,1.1,2.8,.400,.398,0.7,0.9,.750,0.5,1.7,2.2,0.8,0.5,0.3,0.9,1.3,4.3
Penny Early,1969,1969,,5-3,114,"May 30, 1943",,Career,,,ABA,1,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0
Mark Eaton,1983,1993,,7-4,275,"January 24, 1957",UCLA,Career,,,NBA,875,815,28.8,2.4,5.2,.458,0.0,0.0,.000,2.4,5.2,.458,.458,1.2,1.9,.649,2.1,5.8,7.9,1.0,0.4,3.5,1.5,3.4,6.0
Jerry Eaves,1983,1987,,6-4,180,"February 8, 1959",Louisville,Career,,,NBA,168,8,16.0,2.5,5.3,.472,0.0,0.1,.071,2.5,5.2,.478,.472,1.8,2.3,.773,0.4,0.9,1.2,2.5,0.5,0.0,1.5,1.3,6.7
Devin Ebanks,2011,2013,,6-9,215,"October 28, 1989",West Virginia,Career,,,NBA,63,15,11.3,1.3,3.4,.385,0.1,0.6,.222,1.2,2.8,.418,.404,0.8,1.1,.722,0.8,1.1,1.9,0.4,0.3,0.2,0.6,0.9,3.6
Bill Ebben,1958,1958,,6-4,190,"October 7, 1935",Detroit Mercy,Career,,,NBA,8,,6.3,0.8,3.5,.214,,,,,,,,0.4,0.5,.750,,,1.0,0.5,,,,0.6,1.9
Al Eberhard,1975,1978,,6-6,225,"May 10, 1952",Missouri,Career,,,NBA,220,,18.8,2.6,5.9,.433,,,,,,,,1.6,2.0,.797,1.2,2.2,3.5,0.8,0.7,0.2,0.6,2.5,6.8
Ndudi Ebi,2004,2005,,6-9,200,"June 18, 1984",,Career,,,NBA,19,0,4.5,0.9,1.8,.486,0.0,0.1,.000,0.9,1.8,.500,.486,0.3,0.7,.462,0.4,0.6,1.0,0.2,0.1,0.3,0.3,0.7,2.1
Roy Ebron,1974,1974,,6-9,220,"August 31, 1951",Louisiana,Career,,,ABA,40,,13.2,2.6,5.3,.488,0.0,0.0,.000,2.6,5.3,.490,.488,1.1,2.1,.512,2.0,2.4,4.4,0.5,0.4,0.8,0.9,1.7,6.2
Jarell Eddie,2016,2018,,6-7,218,"October 30, 1991",Virginia Tech,Career,,,NBA,34,0,6.4,0.8,2.5,.302,0.6,1.9,.292,0.2,0.6,.333,.413,0.5,0.5,.941,0.1,0.8,0.9,0.1,0.2,0.0,0.1,0.2,2.6
Patrick Eddie,1992,1992,,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss",Career,,,NBA,4,0,3.3,0.5,2.3,.222,0.0,0.0,,0.5,2.3,.222,.222,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.8,1.0
Dike Eddleman,1950,1953,,6-3,189,"December 27, 1922",Illinois,Career,,,NBA,267,,25.7,4.6,13.2,.352,,,,,,,,2.8,4.4,.630,,,4.5,2.1,,,,3.6,12.1
Kenton Edelin,1985,1985,,6-8,205,"May 24, 1962",Virginia,Career,,,NBA,10,1,14.3,0.4,1.3,.308,0.0,0.0,,0.4,1.3,.308,.308,0.3,0.8,.375,0.8,1.8,2.6,1.0,0.5,0.4,0.3,3.9,1.1
Charles Edge,1974,1975,,6-6,210,"February 23, 1950",LeMoyne-Owen College,Career,,,ABA,155,,19.9,3.3,6.5,.502,0.0,0.0,.000,3.3,6.5,.504,.502,1.2,1.9,.632,2.7,3.7,6.3,0.7,0.8,0.7,1.4,1.5,7.7
Bobby Edmonds,1968,1970,,6-6,220,"March 8, 1941",Tennessee State,Career,,,ABA,75,,18.0,2.9,6.6,.434,0.0,0.1,.167,2.8,6.5,.437,.435,2.0,3.1,.651,0.7,0.7,5.0,0.4,,,1.6,2.5,7.7
Keith Edmonson,1983,1984,,6-5,195,"September 28, 1960",Purdue,Career,,,NBA,87,2,10.7,2.4,5.3,.448,0.0,0.0,.000,2.4,5.3,.450,.448,1.3,1.8,.719,0.8,0.7,1.5,0.6,0.4,0.1,0.9,1.4,6.0
Tyus Edney,1996,2001,,5-10,152,"February 14, 1973",UCLA,Career,,,NBA,226,87,21.0,2.6,6.4,.405,0.3,0.9,.322,2.3,5.5,.419,.428,2.2,2.7,.806,0.5,1.2,1.7,4.0,1.0,0.0,1.7,1.7,7.6
Anthony Edwards,2021,2021,,6-4,225,"August 5, 2001",Georgia,Career,,,NBA,72,55,32.1,7.0,16.8,.417,2.4,7.2,.329,4.6,9.6,.483,.488,2.9,3.8,.776,0.8,3.8,4.7,2.9,1.1,0.5,2.2,1.8,19.3
