player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Marc Iavaroni,1983,1989,,6-8,210,"September 15, 1956",Virginia,Career,,,NBA,531,321,15.8,1.7,3.7,.459,0.0,0.0,.000,1.7,3.7,.463,.459,1.0,1.4,.710,1.1,2.2,3.2,1.0,0.3,0.4,1.2,2.4,4.4
Serge Ibaka,2010,2021,,6-10,235,"September 18, 1989",,Career,,,NBA,849,685,28.3,5.2,10.1,.514,0.7,1.9,.359,4.5,8.2,.549,.547,1.4,1.9,.759,2.1,5.2,7.3,0.8,0.4,2.0,1.3,2.8,12.5
Andre Iguodala,2005,2021,,6-6,215,"January 28, 1984",Arizona,Career,,,NBA,1192,784,32.5,4.2,9.0,.463,0.9,2.7,.333,3.3,6.3,.519,.513,2.4,3.3,.709,0.9,4.1,5.0,4.2,1.5,0.5,1.8,1.8,11.6
Zydrunas Ilgauskas,1998,2011,,7-3,238,"June 5, 1975",,Career,,,NBA,843,724,27.2,5.0,10.5,.476,0.0,0.1,.310,5.0,10.4,.478,.478,3.0,3.8,.780,2.9,4.4,7.3,1.1,0.5,1.6,1.8,3.3,13.0
Mile Ilić,2007,2007,,7-1,230,"June 2, 1984",,Career,,,NBA,5,0,1.2,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.2,0.0
Didier Ilunga-Mbenga,2005,2011,,7-0,245,"December 30, 1980",,Career,,,NBA,234,4,6.7,0.8,1.6,.470,0.0,0.0,.000,0.8,1.6,.472,.470,0.2,0.4,.607,0.6,0.9,1.5,0.2,0.2,0.6,0.4,1.2,1.8
Ersan İlyasova,2007,2021,,6-9,235,"May 15, 1987",,Career,,,NBA,825,424,23.0,3.8,8.5,.443,1.1,2.9,.367,2.7,5.6,.483,.506,1.5,1.9,.777,1.7,4.0,5.6,1.1,0.7,0.4,1.0,2.4,10.1
Darrall Imhoff,1961,1972,,6-10,220,"October 11, 1938",California,Career,,,NBA,801,,22.3,2.9,6.3,.458,,,,,,,,1.4,2.4,.594,,,7.6,1.8,,,,3.1,7.2
Tom Ingelsby,1974,1976,,6-3,180,"February 12, 1951",Villanova,Career,,,TOT,75,,10.1,1.3,3.0,.424,0.0,0.2,.200,1.3,2.9,.429,.426,0.7,0.9,.773,0.4,0.9,1.3,1.0,0.4,0.1,0.6,0.8,3.2
Joe Ingles,2015,2021,,6-8,220,"October 2, 1987",,Career,,,NBA,545,298,25.8,3.1,6.8,.453,1.8,4.4,.414,1.3,2.4,.522,.586,0.7,0.9,.767,0.3,2.9,3.3,3.8,1.0,0.2,1.6,1.9,8.8
Damien Inglis,2016,2016,,6-8,246,"May 20, 1995",,Career,,,NBA,20,1,7.8,0.7,1.9,.351,0.2,0.7,.231,0.5,1.2,.417,.392,0.4,0.4,.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8
Andre Ingram,2018,2019,,6-3,190,"November 19, 1985",American University,Career,,,NBA,6,0,13.2,1.3,3.8,.348,0.8,2.0,.417,0.5,1.8,.273,.457,0.5,0.5,1.000,0.3,1.0,1.3,1.2,0.7,0.5,0.7,0.5,4.0
Brandon Ingram,2017,2021,,6-8,190,"September 2, 1997",Duke,Career,,,NBA,313,274,32.6,6.4,14.0,.461,1.3,3.7,.367,5.1,10.3,.494,.509,3.6,4.7,.756,0.8,4.3,5.0,3.5,0.7,0.6,2.4,2.5,17.8
McCoy Ingram,1958,1958,,6-8,210,"August 31, 1931",Jackson State University,Career,,,NBA,24,,11.1,1.1,4.3,.262,,,,,,,,0.5,1.2,.464,,,4.8,0.8,,,,1.8,2.8
Ervin Inniger,1968,1969,,6-4,190,"January 16, 1945",Indiana,Career,,,ABA,109,,22.7,3.8,8.9,.430,0.1,0.4,.167,3.8,8.5,.444,.434,1.1,1.5,.741,0.6,1.2,3.5,1.4,,,1.1,2.4,8.8
Byron Irvin,1990,1993,,6-5,190,"December 2, 1966","Arkansas, Missouri",Career,,,NBA,87,8,9.8,1.9,4.0,.471,0.1,0.2,.350,1.8,3.8,.479,.481,1.3,1.8,.722,0.6,0.8,1.4,0.8,0.5,0.0,0.7,0.9,5.2
George Irvine,1971,1976,,6-6,200,"February 1, 1948",Washington,Career,,,ABA,325,,19.8,3.9,7.6,.517,0.1,0.4,.274,3.8,7.2,.532,.525,1.6,1.9,.826,1.0,1.9,3.0,1.3,0.4,0.2,1.2,2.6,9.5
Kyrie Irving,2012,2021,,6-2,195,"March 23, 1992",Duke,Career,,,NBA,582,582,33.9,8.4,17.9,.470,2.2,5.6,.391,6.2,12.3,.505,.531,3.8,4.4,.881,0.8,3.0,3.8,5.7,1.3,0.4,2.6,2.3,22.8
Jonathan Isaac,2018,2020,,6-11,230,"October 3, 1997",Florida State,Career,,,NBA,136,106,25.8,3.5,8.0,.435,1.0,3.0,.330,2.5,5.0,.497,.496,1.4,1.7,.797,1.3,4.2,5.4,1.1,1.1,1.5,1.1,2.0,9.3
Dan Issel*,1971,1985,,6-9,235,"October 25, 1948",Kentucky,Career,,,TOT,1218,236,34.3,8.6,17.2,.499,0.0,0.1,.204,8.5,17.0,.501,.500,5.4,6.8,.793,3.0,6.1,9.1,2.4,1.0,0.5,2.2,2.9,22.6
Mike Iuzzolino,1992,1993,,5-10,175,"January 22, 1968","Penn State, Saint Francis University",Career,,,NBA,122,44,25.0,3.1,6.8,.457,0.9,2.3,.404,2.2,4.5,.485,.525,1.8,2.3,.798,0.5,1.5,2.0,4.3,0.7,0.1,1.8,1.5,9.0
Allen Iverson*,1997,2010,,6-0,165,"June 7, 1975",Georgetown,Career,,,NBA,914,901,41.1,9.3,21.8,.425,1.2,3.7,.313,8.1,18.1,.448,.452,7.0,8.9,.780,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,26.7
Willie Iverson,1969,1969,,6-0,180,"October 8, 1945",Central Michigan University,Career,,,ABA,28,,19.0,1.8,5.2,.342,0.0,0.1,.000,1.8,5.1,.347,.342,1.3,2.1,.600,0.4,1.2,1.6,2.9,,,2.0,1.7,4.9
Royal Ivey,2005,2014,,6-3,200,"December 20, 1981",Texas,Career,,,NBA,492,114,12.5,1.3,3.1,.406,0.3,0.9,.361,0.9,2.2,.425,.459,0.5,0.7,.706,0.3,0.8,1.1,1.0,0.5,0.1,0.5,1.5,3.3
Elvin Ivory,1969,1969,,6-8,210,"July 2, 1948",Louisiana,Career,,,ABA,20,,9.4,1.9,4.4,.437,0.1,0.2,.250,1.9,4.2,.446,.443,0.6,0.9,.647,1.7,1.6,3.3,0.5,,,0.7,1.9,4.4
Wesley Iwundu,2018,2021,,6-6,195,"December 20, 1994",Kansas State,Career,,,NBA,223,50,16.8,1.5,3.7,.407,0.3,1.1,.286,1.2,2.6,.459,.450,1.0,1.2,.799,0.5,1.9,2.4,0.9,0.5,0.2,0.5,1.5,4.3
