player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Mfiondu Kabengele,2020,2021,,6-9,250,"August 14, 1997",Florida State,Career,,,NBA,51,0,6.7,0.9,2.4,.388,0.4,1.4,.314,0.5,1.0,.490,.479,0.4,0.5,.840,0.3,1.1,1.4,0.4,0.2,0.3,0.3,0.9,2.7
Whitey Kachan,1949,1949,,6-2,175,"September 15, 1925",DePaul,Career,,,BAA,52,,,0.7,2.7,.268,,,,,,,,0.7,1.1,.643,,,,0.7,,,,1.6,2.2
George Kaftan,1949,1953,,6-3,190,"February 22, 1928",Holy Cross,Career,,,TOT,212,,17.8,2.8,7.5,.370,,,,,,,,2.0,3.1,.650,,,3.1,1.9,,,,1.8,7.5
Ed Kalafat,1955,1957,,6-6,245,"October 13, 1932",Minnesota,Career,,,NBA,209,,20.9,2.3,6.8,.345,,,,,,,,2.4,3.4,.688,,,5.7,1.5,,,,3.3,7.1
Chris Kaman,2004,2016,,7-0,265,"April 28, 1982",Central Michigan University,Career,,,NBA,735,538,26.7,4.7,9.6,.489,0.0,0.0,.042,4.7,9.5,.490,.489,1.8,2.5,.743,2.0,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2
Frank Kaminsky,2016,2021,,7-0,240,"April 4, 1993",Wisconsin,Career,,,NBA,368,49,21.0,3.4,7.9,.427,1.1,3.2,.348,2.3,4.7,.480,.497,1.5,2.1,.739,0.8,3.3,4.0,1.6,0.4,0.4,0.8,1.6,9.4
Enes Kanter,2012,2021,,6-10,250,"May 20, 1992",,Career,,,NBA,713,258,22.0,4.7,8.6,.548,0.1,0.2,.286,4.7,8.4,.555,.552,2.0,2.6,.776,3.0,4.9,7.9,0.9,0.4,0.5,1.5,2.2,11.5
Ralph Kaplowitz,1947,1948,,6-2,170,"May 18, 1919",NYU,Career,,,BAA,105,,,2.1,7.8,.263,,,,,,,,1.5,2.0,.749,,,,0.5,,,,2.1,5.6
Jason Kapono,2004,2012,,6-8,213,"February 4, 1981",UCLA,Career,,,NBA,509,87,17.8,2.6,5.9,.442,0.9,2.1,.434,1.7,3.9,.446,.517,0.5,0.6,.835,0.3,1.3,1.7,0.8,0.4,0.0,0.6,1.5,6.7
Tony Kappen,1947,1947,,5-10,165,"April 13, 1919",,Career,,,BAA,59,,,2.2,9.1,.238,,,,,,,,2.2,2.7,.795,,,,0.5,,,,1.3,6.5
