player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Sheldon Mac,2017,2017,,6-5,200,"December 21, 1992",Miami (FL),Career,,,NBA,30,3,9.6,1.0,2.5,.400,0.2,1.0,.233,0.8,1.5,.511,.447,0.8,0.9,.852,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.6,3.0
Todd MacCulloch,2000,2003,,7-0,280,"January 27, 1976",Washington,Career,,,NBA,223,105,15.4,2.5,4.7,.541,0.0,0.0,,2.5,4.7,.541,.541,1.0,1.6,.642,1.5,2.5,4.0,0.5,0.3,0.8,0.7,2.1,6.1
Ronnie MacGilvray,1955,1955,,6-2,185,"July 20, 1930",St. John's,Career,,,NBA,6,,9.5,0.3,2.0,.167,,,,,,,,0.7,1.2,.571,,,1.5,1.8,,,,0.8,1.3
Don MacLean,1993,2001,,6-10,235,"January 16, 1970",UCLA,Career,,,NBA,319,111,20.9,4.1,9.1,.455,0.2,0.6,.284,4.0,8.5,.467,.465,2.5,3.3,.765,1.1,2.7,3.8,1.3,0.4,0.2,1.2,1.9,10.9
Mike Macaluso,1974,1974,,6-5,210,"July 20, 1951",Canisius,Career,,,NBA,30,,3.7,0.6,1.5,.432,,,,,,,,0.3,0.6,.588,0.3,0.5,0.8,0.1,0.2,0.0,,1.0,1.6
Ed Macauley*,1950,1959,,6-8,185,"March 22, 1928",Saint Louis,Career,,,NBA,641,,35.7,5.8,13.4,.436,,,,,,,,5.9,7.7,.761,,,7.5,3.2,,,,2.6,17.5
Scott Machado,2013,2019,,6-1,205,"June 8, 1990",Iona College,Career,,,NBA,10,0,4.0,0.7,1.2,.583,0.1,0.2,.500,0.6,1.0,.600,.625,0.3,0.3,1.000,0.0,0.1,0.1,0.9,0.3,0.0,0.8,0.2,1.8
Arvydas Macijauskas,2006,2006,,6-4,214,"January 19, 1980",,Career,,,NBA,19,0,7.1,0.7,2.2,.341,0.2,0.6,.250,0.6,1.5,.379,.378,0.7,0.8,.867,0.2,0.4,0.5,0.3,0.4,0.0,0.4,0.5,2.3
Ollie Mack,1980,1982,,6-3,185,"June 6, 1957",East Carolina University,Career,,,NBA,128,3,19.6,3.1,6.8,.458,0.0,0.1,.000,3.1,6.6,.467,.458,1.0,1.4,.674,1.0,1.5,2.5,1.8,0.7,0.1,0.9,1.4,7.2
Sam Mack,1993,2002,,6-7,220,"May 26, 1970","Iowa State, Tyler Junior College, Houston",Career,,,NBA,259,105,19.4,2.8,6.9,.400,1.3,3.4,.374,1.5,3.5,.426,.493,1.0,1.2,.831,0.4,1.6,2.1,1.3,0.6,0.1,0.8,1.8,7.8
