player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Hamady N'Diaye,2011,2014,,7-0,235,"January 12, 1987",Rutgers University,Career,,,NBA,33,0,4.8,0.2,0.5,.467,0.0,0.0,,0.2,0.5,.467,.467,0.2,0.4,.462,0.2,0.5,0.8,0.1,0.1,0.3,0.2,1.0,0.6
Makhtar N'Diaye,1999,1999,,6-8,245,"December 12, 1973","Michigan, UNC",Career,,,NBA,4,0,6.8,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.8,1.0,.750,0.8,0.5,1.3,0.3,0.0,0.3,0.3,2.3,1.3
Mamadou N'Diaye,2001,2005,,7-0,255,"June 16, 1975",Auburn,Career,,,NBA,69,9,12.4,1.2,2.9,.427,0.0,0.0,.000,1.2,2.9,.429,.427,1.3,1.8,.736,1.3,2.0,3.3,0.1,0.2,0.9,0.6,2.1,3.8
Boniface N'Dong,2006,2006,,7-0,198,"March 9, 1977",,Career,,,NBA,23,1,6.6,1.0,2.3,.415,0.0,0.0,.000,1.0,2.3,.423,.415,0.3,0.4,.667,0.7,1.0,1.6,0.3,0.1,0.2,0.3,1.0,2.2
Bob Naber,1953,1953,,6-3,185,"September 3, 1929",Louisville,Career,,,NBA,4,,2.8,0.0,1.0,.000,,,,,,,,0.3,0.5,.500,,,1.3,0.3,,,,1.5,0.3
Boris Nachamkin,1955,1955,,6-6,210,"December 6, 1933",NYU,Career,,,NBA,6,,9.8,1.0,3.3,.300,,,,,,,,1.3,2.2,.615,,,3.2,0.5,,,,1.0,3.3
Boštjan Nachbar,2003,2008,,6-9,221,"July 3, 1980",,Career,,,NBA,317,25,17.8,2.3,5.8,.406,1.0,2.7,.375,1.3,3.1,.433,.494,1.4,1.8,.784,0.4,2.2,2.6,0.9,0.4,0.3,0.9,2.2,7.1
Abdel Nader,2018,2021,,6-5,225,"September 25, 1993","Northern Illinois, Iowa State",Career,,,NBA,188,8,13.0,1.7,4.0,.432,0.6,1.8,.360,1.1,2.2,.491,.513,0.7,0.9,.725,0.3,1.6,1.9,0.5,0.4,0.3,0.6,1.2,4.7
Jerry Nagel,1950,1950,,6-0,190,"May 18, 1928",Loyola Chicago,Career,,,NBA,14,,,0.4,2.0,.214,,,,,,,,0.1,0.3,.250,,,,1.3,,,,0.8,0.9
Fritz Nagy,1949,1949,,6-2,185,"January 3, 1924",University of Akron,Career,,,BAA,50,,,1.9,5.4,.347,,,,,,,,1.3,1.9,.670,,,,1.4,,,,1.7,5.1
Lee Nailon,2001,2006,,6-9,238,"February 22, 1975","Butler County Community College, TCU",Career,,,NBA,306,96,19.0,3.7,7.7,.474,0.0,0.0,.111,3.7,7.7,.475,.474,1.2,1.6,.786,1.2,1.8,3.1,1.0,0.4,0.2,1.0,1.9,8.6
Eduardo Nájera,2001,2012,,6-8,240,"July 11, 1976",Oklahoma,Career,,,NBA,619,85,18.1,1.9,4.0,.481,0.2,0.6,.311,1.8,3.5,.509,.503,0.9,1.3,.671,1.4,2.3,3.7,0.8,0.7,0.4,0.6,2.2,4.9
Larry Nance,1982,1994,,6-10,205,"February 12, 1959",Clemson,Career,,,NBA,920,795,33.4,6.9,12.7,.546,0.0,0.1,.145,6.9,12.6,.548,.546,3.2,4.2,.755,2.5,5.5,8.0,2.6,0.9,2.2,1.9,2.9,17.1
Larry Nance,2016,2021,,6-7,245,"January 1, 1993",Wyoming,Career,,,NBA,350,123,24.2,3.4,6.4,.529,0.4,1.2,.333,3.0,5.2,.575,.561,1.0,1.5,.687,2.0,4.6,6.7,1.9,1.3,0.5,1.0,2.3,8.3
Shabazz Napier,2015,2020,,6-0,175,"July 14, 1991",UConn,Career,,,NBA,345,56,17.4,2.3,5.9,.397,1.0,2.9,.345,1.3,3.0,.448,.482,1.4,1.7,.815,0.3,1.6,1.9,2.5,0.8,0.1,1.3,1.2,7.1
Paul Napolitano,1949,1949,,6-2,185,"February 3, 1923",San Francisco,Career,,,BAA,1,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0
Bob Nash,1973,1979,,6-8,195,"August 24, 1950",Hawaii,Career,,,TOT,236,,11.6,2.0,4.6,.429,0.0,0.1,.000,2.0,4.6,.430,.429,0.7,1.0,.729,1.0,1.5,2.3,0.7,0.3,0.2,0.9,1.3,4.7
Cotton Nash,1965,1968,,6-5,215,"July 24, 1942",Kentucky,Career,,,TOT,84,,13.6,1.8,5.4,.340,0.0,0.0,.000,1.8,5.3,.341,.340,2.0,2.5,.766,,,3.3,0.8,,,1.3,1.4,5.6
Steve Nash*,1997,2014,,6-3,195,"February 7, 1974",Santa Clara,Career,,,NBA,1217,1053,31.3,5.2,10.6,.490,1.4,3.2,.428,3.8,7.4,.518,.556,2.5,2.8,.904,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3
Swen Nater,1974,1984,,6-11,240,"January 14, 1950",UCLA,Career,,,TOT,722,7,28.7,5.1,9.6,.535,0.0,0.0,.100,5.1,9.6,.536,.535,2.1,2.9,.748,3.4,8.2,11.6,1.7,0.5,0.6,2.4,3.0,12.4
Howard Nathan,1996,1996,,5-11,175,"January 21, 1972","DePaul, Louisiana-Monroe",Career,,,NBA,5,0,3.0,1.0,1.8,.556,0.0,0.2,.000,1.0,1.6,.625,.556,0.6,0.8,.750,0.0,0.0,0.0,0.4,0.6,0.0,1.6,0.4,2.6
Calvin Natt,1980,1990,,6-6,220,"January 8, 1957",Louisiana-Monroe,Career,,,NBA,599,371,31.4,6.7,12.7,.528,0.0,0.1,.219,6.7,12.5,.531,.529,3.8,4.9,.768,2.3,4.5,6.8,2.2,0.9,0.3,2.1,2.3,17.2
Kenny Natt,1981,1985,,6-3,185,"October 5, 1958",Louisiana-Monroe,Career,,,NBA,49,0,7.9,1.3,3.2,.417,0.0,0.2,.200,1.3,3.0,.432,.423,0.4,0.6,.621,0.3,0.5,0.8,0.8,0.2,0.0,0.7,1.2,3.1
Willie Naulls,1957,1966,,6-6,225,"October 7, 1934",UCLA,Career,,,NBA,716,,28.8,6.3,15.6,.406,,,,,,,,3.1,3.9,.812,,,9.1,1.6,,,,3.1,15.8
Juan Carlos Navarro,2008,2008,,6-3,170,"June 13, 1980",,Career,,,NBA,82,30,25.8,3.8,9.3,.402,1.9,5.3,.361,1.9,4.1,.455,.504,1.5,1.8,.849,0.4,2.1,2.6,2.2,0.6,0.0,1.6,1.1,10.9
Maurice Ndour,2017,2017,,6-9,200,"June 18, 1992",Ohio University,Career,,,NBA,32,4,10.3,1.2,2.7,.453,0.0,0.2,.143,1.2,2.5,.481,.459,0.6,0.8,.731,0.7,1.3,2.0,0.3,0.5,0.3,0.4,0.9,3.1
Craig Neal,1989,1991,,6-5,165,"February 16, 1964",Georgia Tech,Career,,,NBA,63,0,9.9,0.9,2.5,.373,0.2,0.7,.302,0.7,1.8,.400,.415,0.4,0.7,.600,0.1,0.6,0.7,2.5,0.4,0.1,1.2,1.5,2.5
