player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Charles O'Bannon,1998,1999,,6-5,209,"February 22, 1975",UCLA,Career,,,NBA,48,1,8.3,1.0,2.6,.400,0.0,0.1,.000,1.0,2.5,.413,.400,0.4,0.5,.870,0.7,0.7,1.4,0.6,0.2,0.1,0.4,0.8,2.5
Ed O'Bannon,1996,1997,,6-8,222,"August 14, 1972",UCLA,Career,,,NBA,128,34,16.1,1.9,5.3,.367,0.2,1.0,.222,1.7,4.3,.400,.387,0.8,1.1,.755,0.9,1.6,2.5,0.8,0.6,0.2,0.6,1.5,5.0
John O'Boyle,1953,1953,,6-2,185,"March 7, 1928",Colorado State,Career,,,NBA,5,,19.4,1.6,5.2,.308,,,,,,,,1.0,1.4,.714,,,2.0,1.0,,,,4.0,4.2
Bob O'Brien,1948,1949,,6-4,190,"January 26, 1927",Pepperdine,Career,,,BAA,46,,,0.6,2.8,.206,,,,,,,,0.6,1.3,.466,,,,0.2,,,,1.6,1.8
J.J. O'Brien,2016,2016,,6-7,228,"April 8, 1992",San Diego State,Career,,,NBA,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0
Jim O'Brien,1974,1975,,6-7,200,"November 7, 1951",Maryland,Career,,,ABA,58,,11.5,1.8,4.1,.429,0.1,0.5,.200,1.7,3.6,.462,.442,1.0,1.3,.747,1.0,1.4,2.4,1.5,0.7,0.4,1.4,1.1,4.6
Jimmy O'Brien,1972,1975,,6-1,170,"April 9, 1950",Boston College,Career,,,ABA,303,,20.3,2.4,5.9,.402,0.1,0.3,.176,2.3,5.6,.416,.407,1.1,1.3,.830,0.6,1.4,2.0,4.1,1.0,0.0,1.8,1.7,5.9
Ralph O'Brien,1952,1953,,5-9,160,"April 8, 1928",Butler,Career,,,NBA,119,,19.6,2.7,7.6,.360,,,,,,,,1.7,2.0,.830,,,1.6,1.5,,,,1.6,7.1
Johnny O'Bryant,2015,2018,,6-9,257,"June 1, 1993",LSU,Career,,,NBA,147,19,11.5,1.4,3.6,.402,0.1,0.3,.360,1.3,3.3,.406,.419,0.4,0.7,.663,0.9,1.5,2.4,0.5,0.2,0.1,0.5,1.4,3.5
Patrick O'Bryant,2007,2010,,7-0,260,"June 20, 1986",Bradley,Career,,,NBA,90,3,5.8,0.9,1.8,.494,0.0,0.0,.000,0.9,1.7,.503,.494,0.3,0.5,.583,0.4,1.1,1.4,0.3,0.2,0.4,0.5,1.4,2.1
Dermie O'Connell,1949,1950,,6-0,174,"April 13, 1928",Holy Cross,Career,,,TOT,82,,,2.4,9.0,.268,,,,,,,,0.9,1.8,.531,,,,1.9,,,,1.6,5.8
Andy O'Donnell,1950,1950,,6-1,180,"March 10, 1925",Loyola College in Maryland,Career,,,NBA,25,,,1.5,4.3,.352,,,,,,,,0.6,0.7,.778,,,,0.7,,,,1.3,3.6
Buddy O'Grady,1947,1949,,5-11,160,"January 19, 1920",Georgetown,Career,,,BAA,146,,,1.4,5.3,.265,,,,,,,,0.8,1.2,.691,,,,0.7,,,,1.2,3.7
Fran O'Hanlon,1971,1971,,6-1,175,"August 24, 1948",Villanova,Career,,,ABA,14,,7.2,0.6,1.6,.364,0.0,0.1,.000,0.6,1.5,.381,.364,0.4,0.6,.667,0.1,0.1,0.3,0.9,,,1.6,1.3,1.6
Dick O'Keefe,1948,1951,,6-2,185,"September 29, 1923",Santa Clara,Career,,,TOT,172,,,1.8,6.8,.272,,,,,,,,1.5,2.3,.640,,,2.2,0.9,,,,2.9,5.2
Tommy O'Keefe,1951,1951,,6-2,185,"June 3, 1928",Georgetown,Career,,,NBA,6,,,1.7,4.7,.357,,,,,,,,0.5,0.7,.750,,,1.2,1.7,,,,0.8,3.8
Mike O'Koren,1981,1988,,6-7,207,"February 7, 1958",UNC,Career,,,NBA,407,111,21.6,3.6,7.3,.490,0.1,0.3,.271,3.5,7.0,.499,.495,1.0,1.6,.651,1.2,2.2,3.4,2.1,0.8,0.2,1.3,2.2,8.2
Grady O'Malley,1970,1970,,6-5,205,"April 25, 1948",Manhattan College,Career,,,NBA,24,,4.7,0.9,2.5,.350,,,,,,,,0.3,0.8,.421,,,1.1,0.4,,,,0.5,2.1
Jermaine O'Neal,1997,2014,,6-11,226,"October 13, 1978",,Career,,,NBA,1011,697,27.1,5.1,10.9,.467,0.0,0.1,.147,5.1,10.8,.469,.467,3.0,4.2,.715,2.0,5.2,7.2,1.4,0.5,1.8,1.9,2.9,13.2
Shaquille O'Neal*,1993,2011,,7-1,325,"March 6, 1972",LSU,Career,,,NBA,1207,1197,34.7,9.4,16.1,.582,0.0,0.0,.045,9.4,16.1,.583,.582,4.9,9.3,.527,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7
Royce O'Neale,2018,2021,,6-4,226,"June 5, 1993","Denver, Baylor",Career,,,NBA,293,153,24.3,2.1,4.7,.444,1.1,2.8,.379,1.0,1.9,.539,.556,0.6,0.7,.795,0.6,4.2,4.8,2.0,0.7,0.4,0.9,2.3,5.9
Mike O'Neill,1953,1953,,6-3,210,"August 11, 1928",California,Career,,,NBA,4,,12.5,1.0,4.3,.235,,,,,,,,1.0,1.0,1.000,,,2.3,0.8,,,,2.5,3.0
Kyle O'Quinn,2013,2020,,6-9,250,"March 26, 1990",Norfolk State,Career,,,NBA,472,65,14.2,2.3,4.4,.517,0.1,0.3,.218,2.2,4.1,.539,.524,0.8,1.1,.740,1.3,3.3,4.6,1.4,0.4,1.0,1.0,2.0,5.4
Kevin O'Shea,1951,1953,,6-2,175,"July 10, 1925",Notre Dame,Career,,,NBA,174,,21.3,1.8,5.3,.337,,,,,,,,1.7,2.4,.680,,,2.3,2.1,,,,2.0,5.2
Garland O'Shields,1947,1947,,6-1,195,"May 23, 1921",Tennessee,Career,,,BAA,9,,,0.2,1.2,.182,,,,,,,,0.0,0.2,.000,,,,0.1,,,,0.9,0.4
Dan O'Sullivan,1991,1996,,6-10,250,"March 3, 1968",Fordham,Career,,,NBA,45,2,6.6,0.6,1.5,.397,0.0,0.0,.000,0.6,1.5,.403,.397,0.6,0.8,.743,0.5,1.0,1.4,0.2,0.1,0.1,0.3,1.0,1.8
Charles Oakley,1986,2004,,6-8,225,"December 18, 1963",Virginia Union University,Career,,,NBA,1282,1159,31.4,3.8,8.0,.471,0.1,0.2,.253,3.7,7.8,.477,.474,2.1,2.7,.761,3.1,6.5,9.5,2.5,1.1,0.3,2.2,3.4,9.7
Fabricio Oberto,2006,2011,,6-10,245,"March 21, 1975",,Career,,,NBA,336,128,14.5,1.4,2.5,.576,0.0,0.0,.000,1.4,2.5,.579,.576,0.4,0.6,.617,1.3,2.2,3.5,0.9,0.3,0.2,0.7,2.2,3.2
Daniel Ochefu,2017,2017,,6-11,245,"December 15, 1993",Villanova,Career,,,NBA,19,0,3.9,0.6,1.4,.444,0.0,0.0,,0.6,1.4,.444,.444,0.0,0.1,.000,0.3,0.9,1.2,0.2,0.1,0.0,0.2,0.9,1.3
Greg Oden,2009,2014,,7-0,250,"January 22, 1988",Ohio State,Career,,,NBA,105,66,19.3,3.0,5.3,.574,0.0,0.0,,3.0,5.3,.574,.574,2.0,3.0,.658,2.4,3.8,6.2,0.5,0.4,1.2,1.3,3.6,8.0
