player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Edwin Ubiles,2012,2012,,6-6,204,"November 26, 1986",Siena College,Career,,,NBA,4,0,13.0,1.3,4.5,.278,0.3,1.3,.200,1.0,3.3,.308,.306,0.8,0.8,1.000,0.5,2.0,2.5,0.3,0.3,0.3,0.3,0.3,3.5
Ekpe Udoh,2011,2019,,6-10,245,"May 20, 1987","Michigan, Baylor",Career,,,NBA,384,56,14.8,1.4,3.0,.453,0.0,0.0,.000,1.4,3.0,.455,.453,0.8,1.1,.718,1.2,1.7,2.9,0.7,0.5,1.1,0.6,1.9,3.5
Ime Udoka,2004,2011,,6-6,215,"August 9, 1977","San Francisco, Portland State",Career,,,NBA,316,80,18.1,1.9,4.7,.417,0.7,1.9,.356,1.3,2.7,.461,.492,0.6,0.8,.705,0.7,2.2,2.9,1.0,0.7,0.2,0.7,1.7,5.2
Beno Udrih,2005,2017,,6-3,205,"July 5, 1982",,Career,,,NBA,831,272,21.9,3.3,7.1,.463,0.6,1.6,.349,2.7,5.5,.496,.502,1.2,1.5,.833,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4
Roko Ukić,2009,2010,,6-5,183,"May 12, 1984",,Career,,,NBA,85,0,11.6,1.6,4.2,.387,0.2,0.9,.189,1.4,3.3,.439,.407,0.6,0.8,.746,0.3,0.6,0.9,1.9,0.4,0.0,0.8,1.0,4.0
Tyler Ulis,2017,2019,,5-10,160,"January 5, 1996",Kentucky,Career,,,NBA,133,58,20.9,3.0,7.4,.403,0.5,1.7,.280,2.5,5.7,.439,.435,1.0,1.3,.808,0.3,1.3,1.7,4.0,0.9,0.1,1.5,1.5,7.5
Wes Unseld*,1969,1981,,6-7,245,"March 14, 1946",Louisville,Career,,,NBA,984,,36.4,4.4,8.7,.509,0.0,0.0,.500,4.4,8.7,.509,.509,1.9,3.0,.633,3.5,8.4,14.0,3.9,1.1,0.6,1.9,2.8,10.8
Hal Uplinger,1954,1954,,6-4,185,"September 30, 1929",Long Island University,Career,,,NBA,23,,11.7,1.4,4.1,.351,,,,,,,,0.9,1.0,.909,,,1.3,1.1,,,,1.8,3.7
Kelvin Upshaw,1989,1991,,6-2,180,"January 24, 1963",Utah,Career,,,NBA,120,1,12.7,2.2,4.9,.453,0.1,0.5,.237,2.1,4.4,.477,.465,0.8,1.1,.795,0.3,0.9,1.2,2.1,0.7,0.1,1.0,1.8,5.4
Jarrod Uthoff,2017,2020,,6-9,221,"May 19, 1993",Iowa,Career,,,NBA,16,0,10.5,1.4,3.5,.411,0.4,1.1,.333,1.1,2.4,.447,.464,0.4,0.6,.778,0.6,1.1,1.8,0.6,0.2,0.3,0.2,0.6,3.7
Ben Uzoh,2011,2012,,6-3,205,"March 19, 1988",Tulsa,Career,,,NBA,60,8,13.5,1.6,4.1,.395,0.1,0.2,.333,1.6,3.9,.397,.401,0.7,1.3,.587,0.8,1.3,2.1,2.2,0.5,0.2,0.7,1.0,4.0
