player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Dean Wade,2020,2021,,6-9,228,"November 20, 1996",Kansas State,Career,,,NBA,75,19,17.1,1.9,4.3,.441,1.1,2.9,.369,0.8,1.4,.589,.565,0.4,0.5,.750,0.5,2.6,3.1,1.0,0.5,0.3,0.4,1.1,5.3
Dwyane Wade,2004,2019,,6-4,220,"January 17, 1982",Marquette,Career,,,NBA,1054,909,33.9,8.0,16.7,.480,0.5,1.8,.293,7.5,14.9,.502,.495,5.4,7.1,.765,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0
Mark Wade,1988,1990,,5-11,160,"October 15, 1965","Oklahoma, UNLV",Career,,,NBA,12,0,10.5,0.3,1.7,.150,0.0,0.2,.000,0.3,1.5,.167,.150,0.2,0.3,.500,0.3,1.0,1.3,3.0,0.6,0.1,1.1,1.1,0.7
Von Wafer,2006,2012,,6-5,210,"July 21, 1985",Florida State,Career,,,NBA,200,14,12.4,2.0,4.6,.420,0.5,1.6,.325,1.4,3.1,.469,.475,0.9,1.1,.751,0.2,1.0,1.2,0.7,0.4,0.1,0.6,0.8,5.3
Clint Wager,1950,1950,,6-6,210,"January 20, 1920",Saint Mary's University of Minnesota,Career,,,NBA,63,,,0.9,3.2,.281,,,,,,,,0.5,0.7,.617,,,,1.4,,,,2.8,2.3
Dajuan Wagner,2003,2007,,6-2,200,"February 4, 1983",Memphis,Career,,,NBA,103,28,21.4,3.4,9.4,.366,0.9,2.8,.321,2.5,6.6,.385,.414,1.6,2.1,.770,0.3,1.1,1.4,1.9,0.7,0.1,1.3,2.1,9.4
Danny Wagner,1950,1950,,6-0,170,"August 1, 1922",Texas,Career,,,NBA,11,,,1.7,4.9,.352,,,,,,,,2.8,3.2,.886,,,,1.6,,,,2.0,6.3
Milt Wagner,1988,1991,,6-5,185,"February 20, 1963",Louisville,Career,,,NBA,53,5,9.4,1.6,3.8,.422,0.2,0.5,.296,1.5,3.3,.441,.441,0.7,0.8,.875,0.1,0.6,0.7,1.4,0.2,0.1,0.6,1.1,4.1
Moritz Wagner,2019,2021,,6-11,245,"April 26, 1997",Michigan,Career,,,NBA,133,34,15.1,2.4,5.0,.480,0.6,1.9,.315,1.8,3.1,.579,.539,1.4,1.8,.817,0.8,2.6,3.4,1.0,0.5,0.4,1.1,2.4,6.8
Phillip Wagner,1969,1969,,6-2,190,"December 18, 1945",Georgia Tech,Career,,,ABA,12,,15.0,0.9,3.4,.268,0.1,0.3,.250,0.8,3.1,.270,.280,1.1,1.4,.765,0.7,1.3,1.9,1.2,,,1.5,2.3,3.0
