player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Guerschon Yabusele,2018,2019,,6-8,260,"December 17, 1995",,Career,,,NBA,74,5,6.6,0.8,1.9,.442,0.3,0.9,.323,0.5,1.0,.548,.518,0.4,0.6,.682,0.5,0.9,1.4,0.4,0.2,0.2,0.4,0.7,2.3
Vincent Yarbrough,2003,2003,,6-7,210,"March 21, 1981",Tennessee,Career,,,NBA,59,39,23.4,2.8,7.3,.393,0.4,1.3,.269,2.5,5.9,.420,.417,0.8,1.1,.790,0.6,2.1,2.7,2.2,1.0,0.6,1.4,2.5,6.9
George Yardley*,1954,1960,,6-5,190,"November 3, 1928",Stanford,Career,,,NBA,472,,33.4,6.8,16.0,.422,,,,,,,,5.7,7.3,.780,,,8.9,1.7,,,,3.0,19.2
Barry Yates,1972,1972,,6-7,215,"January 30, 1946",Maryland,Career,,,NBA,24,,6.0,1.3,3.5,.373,,,,,,,,0.3,0.5,.636,,,1.7,0.3,,,,0.6,2.9
Wayne Yates,1962,1962,,6-8,235,"November 7, 1937",Memphis,Career,,,NBA,37,,7.1,0.8,2.8,.295,,,,,,,,0.3,0.6,.455,,,2.5,0.4,,,,1.9,1.9
Charlie Yelverton,1972,1972,,6-2,190,"December 5, 1948",Fordham,Career,,,NBA,69,,17.8,3.0,7.7,.389,,,,,,,,1.9,2.7,.707,,,2.9,1.2,,,,2.1,7.9
Rich Yonakor,1982,1982,,6-9,220,"October 3, 1958",UNC,Career,,,NBA,10,0,7.0,1.4,2.6,.538,0.0,0.0,,1.4,2.6,.538,.538,0.5,0.7,.714,1.3,1.4,2.7,0.3,0.1,0.2,0.2,0.7,3.3
Danny Young,1985,1995,,6-3,175,"July 26, 1962",Wake Forest,Career,,,NBA,574,73,16.6,1.7,3.9,.437,0.3,1.0,.327,1.4,2.9,.476,.480,0.8,1.0,.835,0.3,0.9,1.2,2.9,0.9,0.1,0.8,0.9,4.6
James Young,2015,2018,,6-6,215,"August 16, 1995",Kentucky,Career,,,NBA,95,0,8.5,0.8,2.2,.367,0.4,1.4,.277,0.4,0.8,.534,.457,0.3,0.5,.563,0.2,0.8,1.0,0.3,0.3,0.1,0.2,0.6,2.3
Joe Young,2016,2018,,6-2,180,"June 27, 1992","Houston, Oregon",Career,,,NBA,127,1,8.5,1.3,3.4,.393,0.3,1.1,.296,1.0,2.3,.438,.440,0.4,0.5,.768,0.1,0.9,1.0,0.9,0.3,0.0,0.5,0.6,3.4
Korleone Young,1999,1999,,6-7,213,"December 31, 1978",,Career,,,NBA,3,0,5.0,1.7,3.3,.500,0.3,1.3,.250,1.3,2.0,.667,.550,0.7,0.7,1.000,0.7,0.7,1.3,0.3,0.0,0.0,0.3,1.0,4.3
Michael Young,1985,1990,,6-7,220,"January 2, 1961",Houston,Career,,,NBA,49,2,9.6,1.9,4.1,.465,0.2,0.6,.296,1.8,3.6,.491,.485,0.6,0.8,.711,0.8,1.0,1.8,0.5,0.5,0.1,0.3,1.0,4.6
Nick Young,2008,2019,,6-7,210,"June 1, 1985",USC,Career,,,NBA,720,201,22.8,4.0,9.6,.418,1.4,3.8,.376,2.6,5.8,.446,.493,1.9,2.3,.836,0.4,1.6,2.0,1.0,0.5,0.2,1.0,1.8,11.4
Perry Young,1987,1987,,6-5,210,"August 4, 1963",Virginia Tech,Career,,,NBA,9,0,8.0,0.7,2.3,.286,0.0,0.0,,0.7,2.3,.286,.286,0.1,0.2,.500,0.3,0.6,0.9,0.8,0.6,0.1,0.4,1.6,1.4
Sam Young,2010,2013,,6-6,220,"June 1, 1985",Pitt,Career,,,NBA,249,52,15.9,2.2,5.1,.442,0.2,0.7,.280,2.1,4.4,.468,.462,1.1,1.4,.742,0.7,1.6,2.3,0.7,0.5,0.2,0.8,1.2,5.8
Thaddeus Young,2008,2021,,6-8,235,"June 21, 1988",Georgia Tech,Career,,,NBA,1033,710,29.9,5.6,11.3,.501,0.5,1.5,.331,5.2,9.8,.527,.523,1.3,2.0,.667,2.0,3.9,5.9,1.8,1.4,0.4,1.5,2.2,13.1
Tim Young,2000,2000,,7-0,220,"February 6, 1976",Stanford,Career,,,NBA,25,0,5.5,0.5,1.6,.333,0.0,0.0,,0.5,1.6,.333,.333,1.1,1.4,.778,0.5,0.9,1.4,0.2,0.1,0.0,0.4,0.7,2.2
Trae Young,2019,2021,,6-1,180,"September 19, 1998",Oklahoma,Career,,,NBA,204,204,33.1,7.6,17.7,.431,2.4,7.1,.343,5.2,10.6,.489,.499,6.4,7.4,.861,0.7,3.3,3.9,8.9,0.9,0.2,4.2,1.7,24.1
Sun Yue,2009,2009,,6-9,205,"November 6, 1985",,Career,,,NBA,10,0,2.8,0.3,1.1,.273,0.0,0.6,.000,0.3,0.5,.600,.273,0.0,0.0,,0.0,0.0,0.0,0.2,0.1,0.1,0.3,1.0,0.6
