player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Max Zaslofsky,1947,1956,,6-2,170,"December 7, 1925",St. John's,Career,,,TOT,540,,28.3,5.3,15.4,.343,4.2,5.5,.769,2.8,2.0,2.4,14.8,,,,,,,,,,,,
Zeke Zawoluk,1953,1955,,6-7,215,"October 13, 1930",St. John's,Career,,,NBA,179,,19.7,2.2,5.9,.372,2.3,3.0,.767,4.1,1.2,2.5,6.8,,,,,,,,,,,,
Cody Zeller,2014,2021,,6-11,240,"October 5, 1992",Indiana,Career,,,NBA,467,273,22.7,3.3,6.3,.518,2.1,2.8,.729,6.0,1.4,2.6,8.7,0.1,0.3,.227,3.2,6.0,.533,.524,2.0,4.0,0.7,0.7,1.1
Dave Zeller,1962,1962,,6-1,175,"June 8, 1939",Miami University,Career,,,NBA,61,,4.6,0.6,1.7,.353,0.3,0.4,.750,0.4,1.0,0.6,1.5,,,,,,,,,,,,
Gary Zeller,1971,1972,,6-3,205,"November 20, 1947",Drake University,Career,,,TOT,90,,8.7,1.4,4.2,.332,0.5,0.8,.594,1.1,0.4,1.3,3.2,0.0,0.1,.000,1.4,4.1,.332,.332,0.4,0.4,,,0.8
Harry Zeller,1947,1947,,6-4,210,"July 10, 1919",Washington & Jefferson College,Career,,,BAA,48,,,2.5,8.0,.314,2.5,3.7,.689,,0.6,3.7,7.5,,,,,,,,,,,,
Luke Zeller,2013,2013,,6-11,245,"April 7, 1987",Notre Dame,Career,,,NBA,16,0,3.6,0.6,1.6,.346,0.0,0.0,,0.6,0.2,0.3,1.2,0.1,0.3,.200,0.5,1.3,.381,.365,0.1,0.6,0.0,0.0,0.0
Tyler Zeller,2013,2020,,7-0,253,"January 17, 1990",UNC,Career,,,NBA,414,166,17.5,2.8,5.5,.508,1.3,1.7,.764,4.4,0.9,2.2,6.9,0.0,0.1,.286,2.8,5.4,.512,.511,1.5,2.9,0.3,0.6,0.8
Tony Zeno,1980,1980,,6-8,210,"October 1, 1957",Arizona State,Career,,,NBA,8,,7.4,0.8,2.6,.286,0.3,0.3,1.000,1.8,0.1,1.6,1.8,0.0,0.0,,0.8,2.6,.286,.286,0.4,1.4,0.5,0.4,1.1
Phil Zevenbergen,1988,1988,,6-10,230,"April 13, 1964","Seattle Pacific University, Washington",Career,,,NBA,8,0,7.3,1.9,3.4,.556,0.0,0.3,.000,1.6,0.4,1.5,3.8,0.0,0.0,,1.9,3.4,.556,.556,0.5,1.1,0.4,0.1,0.5
Wang Zhizhi,2001,2005,,7-0,255,"July 8, 1977",,Career,,,NBA,137,1,9.2,1.6,3.7,.417,0.8,1.1,.735,1.7,0.3,1.1,4.4,0.5,1.3,.385,1.0,2.4,.435,.485,0.4,1.3,0.2,0.3,0.5
George Zídek,1996,1998,,7-0,250,"August 2, 1973",UCLA,Career,,,NBA,135,23,9.8,1.2,2.9,.408,1.0,1.2,.783,2.1,0.2,1.8,3.4,0.0,0.0,.250,1.2,2.9,.409,.409,0.8,1.3,0.1,0.1,0.5
Derrick Zimmerman,2006,2006,,6-3,195,"December 2, 1981",Mississippi State,Career,,,NBA,2,0,16.0,1.0,1.5,.667,0.0,0.0,,2.0,3.5,2.0,2.0,0.0,0.0,,1.0,1.5,.667,.667,0.5,1.5,0.0,0.0,2.0
Stephen Zimmerman,2017,2017,,7-0,240,"September 9, 1996",UNLV,Career,,,NBA,19,0,5.7,0.5,1.6,.323,0.2,0.3,.600,1.8,0.2,0.9,1.2,0.0,0.0,,0.5,1.6,.323,.323,0.6,1.3,0.1,0.3,0.2
Paul Zipser,2017,2018,,6-8,215,"February 18, 1994",,Career,,,NBA,98,30,17.0,1.7,4.6,.371,0.5,0.7,.769,2.6,0.8,1.7,4.7,0.7,2.1,.335,1.0,2.5,.402,.448,0.3,2.3,0.4,0.3,0.8
Ante Žižić,2018,2020,,6-10,266,"January 4, 1997",,Career,,,NBA,113,27,13.4,2.4,4.2,.581,1.1,1.6,.711,3.9,0.6,1.5,6.0,0.0,0.0,,2.4,4.2,.581,.581,1.3,2.6,0.2,0.4,0.7
Jim Zoet,1983,1983,,7-1,240,"December 20, 1953",Kent State University,Career,,,NBA,7,0,4.3,0.1,0.7,.200,0.0,0.0,,1.1,0.1,1.3,0.3,0.0,0.0,,0.1,0.7,.200,.200,0.4,0.7,0.1,0.4,0.6
Bill Zopf,1971,1971,,6-1,170,"June 7, 1948",Duquesne,Career,,,NBA,53,,7.5,0.9,2.5,.363,0.4,0.7,.556,0.9,1.4,0.6,2.2,,,,,,,,,,,,
Ivica Zubac,2017,2021,,7-0,240,"March 18, 1997",,Career,,,NBA,284,151,17.6,3.1,5.3,.588,1.5,2.0,.766,6.0,1.0,2.1,7.8,0.0,0.0,.100,3.1,5.3,.591,.588,2.1,3.9,0.3,0.8,0.9
Matt Zunic,1949,1949,,6-3,195,"December 19, 1919",George Washington,Career,,,BAA,56,,,1.8,5.8,.303,1.4,1.9,.706,,0.9,3.3,4.9,,,,,,,,,,,,
